meetings.name,meetings.bfExchangeEventId,meetings.races.bfExchangeMarketId,meetings.races.name,meetings.races.number,meetings.races.comment,meetings.races.runners.bfExchangeSelectionId,meetings.races.runners.name,meetings.races.runners.number,meetings.races.runners.ratedPrice,meetings.races.runners.early_speed
Cannington,35392864,1.255553875,R1 520m Mdn,1,,96456698,Sparkling Gem,1,5.06,0.5881301129119003
Cannington,35392864,1.255553875,R1 520m Mdn,1,,94952067,Stratton Drive,2,8.11,0.776355746969204
Cannington,35392864,1.255553875,R1 520m Mdn,1,,96456699,Just A Menace,3,9.66,0.5491744962060618
Cannington,35392864,1.255553875,R1 520m Mdn,1,,94952054,Heartbreak Honey,4,15.96,0.48702845650087373
Cannington,35392864,1.255553875,R1 520m Mdn,1,,95581978,Just A Duke,5,9.09,0.6051861653519381
Cannington,35392864,1.255553875,R1 520m Mdn,1,,94952069,West On Jade,6,13.49,0.4476725066753174
Cannington,35392864,1.255553875,R1 520m Mdn,1,,96456700,Sassy Chassis,7,4.7,0.8142035510917707
Cannington,35392864,1.255553875,R1 520m Mdn,1,,96456701,West On Torque,8,8.62,0.4597043103414953
Cannington,35392864,1.255553920,R10 520m Nvce,10,,92540021,Please Me,1,6.86,0.578914748178813
Cannington,35392864,1.255553920,R10 520m Nvce,10,,96456705,Choosing Texas,2,2.59,0.8050763015534079
Cannington,35392864,1.255553920,R10 520m Nvce,10,,83347935,Speedy Pongo,3,25.29,0.3967413495411757
Cannington,35392864,1.255553920,R10 520m Nvce,10,,96456706,Ash Rose,4,16.32,0.6698651697011337
Cannington,35392864,1.255553920,R10 520m Nvce,10,,3575842,Agassi,5,9.13,0.6581163990788937
Cannington,35392864,1.255553920,R10 520m Nvce,10,,73154707,Speed Cheller,6,30.25,0.2724821053053599
Cannington,35392864,1.255553920,R10 520m Nvce,10,,94952061,Harvey McGraw,7,13.97,Unknown
Cannington,35392864,1.255553920,R10 520m Nvce,10,,95840539,Just A Sapphire,8,6.56,0.5961611988955664
Cannington,35392864,1.255553925,R11 601m Gr5,11,,89437419,Paid My Dues,1,2.1,0.5082868627851409
Cannington,35392864,1.255553925,R11 601m Gr5,11,,67897969,Rosie Browne,2,13.33,0.46350304703588796
Cannington,35392864,1.255553925,R11 601m Gr5,11,,96456707,Just A Princess,3,29.13,0.4573883213152363
Cannington,35392864,1.255553925,R11 601m Gr5,11,,89103724,Star Zitto,4,11.28,0.6070250198307481
Cannington,35392864,1.255553925,R11 601m Gr5,11,,68826522,Our Girl Jess,5,11.89,0.4651512265182777
Cannington,35392864,1.255553925,R11 601m Gr5,11,,82415497,Brookman Ranger,6,23.65,0.5172648700204299
Cannington,35392864,1.255553925,R11 601m Gr5,11,,75482642,Reinvigorated,7,5.52,0.708804223330651
Cannington,35392864,1.255553925,R11 601m Gr5,11,,84267040,Licorice Monelli,8,53.65,0.3326778035920094
Cannington,35392864,1.255553930,R12 601m Gr4/5,12,,72380233,Iron Works,1,3.07,0.3905092437258964
Cannington,35392864,1.255553930,R12 601m Gr4/5,12,,83193042,Burnali,2,45.51,0.4721864271978432
Cannington,35392864,1.255553930,R12 601m Gr4/5,12,,84945135,Panadero Magic,4,10.18,0.2181426645371402
Cannington,35392864,1.255553930,R12 601m Gr4/5,12,,71109900,Max Capacity,5,4.2,0.5637862386254082
Cannington,35392864,1.255553930,R12 601m Gr4/5,12,,74776410,Linguine Monelli,7,8.74,0.3527160522436538
Cannington,35392864,1.255553930,R12 601m Gr4/5,12,,86696433,West On Model,8,4.97,0.817723204120075
Cannington,35392864,1.255553935,R13 520m Gr5,13,,94099844,Hurry Up Eric,1,1.61,0.6308577361587316
Cannington,35392864,1.255553935,R13 520m Gr5,13,,89102654,Rockin Kinloch,2,27.01,0.4599975988656387
Cannington,35392864,1.255553935,R13 520m Gr5,13,,67325297,Page One News,3,9.8,0.6363783116372188
Cannington,35392864,1.255553935,R13 520m Gr5,13,,79456432,King Kuna,4,22.99,0.36072505530914156
Cannington,35392864,1.255553935,R13 520m Gr5,13,,83870134,Ferndale Flyer,5,20.93,0.38555630941855223
Cannington,35392864,1.255553935,R13 520m Gr5,13,,74854482,Little Boujee,6,8.13,0.4999211114232116
Cannington,35392864,1.255553935,R13 520m Gr5,13,,86389995,Aussie Tan,7,93.14,0.5178148666854662
Cannington,35392864,1.255553935,R13 520m Gr5,13,,79803658,Wyong El Paso,8,59.54,0.4153955945085289
Cannington,35392864,1.255553880,R2 601m Nvce,2,,94099846,Hum Bug Monelli,1,4.33,0.5074455036824734
Cannington,35392864,1.255553880,R2 601m Nvce,2,,4537114,Hunter,2,10.75,0.2336953410630152
Cannington,35392864,1.255553880,R2 601m Nvce,2,,95264356,Zero Surf,3,10.22,0.44425367146753436
Cannington,35392864,1.255553880,R2 601m Nvce,2,,92243105,Red Hot Bonnie,4,8.53,0.4679662907657399
Cannington,35392864,1.255553880,R2 601m Nvce,2,,93322272,West On Menace,5,2.89,0.5541772737272211
Cannington,35392864,1.255553880,R2 601m Nvce,2,,96148997,Canya Redline,6,12.92,0.2567608243195904
Cannington,35392864,1.255553880,R2 601m Nvce,2,,76912106,Revolution Rico,7,111.9,0.30682862843981207
Cannington,35392864,1.255553880,R2 601m Nvce,2,,88113282,Impress Kuta,8,34.78,0.36882714479803436
Cannington,35392864,1.255553885,R3 520m Heat,3,,78567477,Sir Tommy,1,10.55,0.5593373871582331
Cannington,35392864,1.255553885,R3 520m Heat,3,,83606044,Jai Bubba,2,53.2,0.29721189180621
Cannington,35392864,1.255553885,R3 520m Heat,3,,92997859,Frogs Monelli,3,3.32,0.6983902091550682
Cannington,35392864,1.255553885,R3 520m Heat,3,,90010922,Sheeran Melody,4,5.68,0.5631744844393662
Cannington,35392864,1.255553885,R3 520m Heat,3,,69162413,Xeni Bale,5,35.19,0.3293803543747561
Cannington,35392864,1.255553885,R3 520m Heat,3,,73371820,Farmer Russell,6,4.66,0.6880044655751125
Cannington,35392864,1.255553885,R3 520m Heat,3,,83192880,Garritty,7,7.31,0.5714263199228276
Cannington,35392864,1.255553885,R3 520m Heat,3,,61721148,Wild Milly,8,34.33,0.42101146358373787
Cannington,35392864,1.255553890,R4 520m Heat,4,,4369940,Hudson,1,2.51,0.7199850647007657
Cannington,35392864,1.255553890,R4 520m Heat,4,,75759942,Sunset Lightfoot,2,16.6,0.460926207763791
Cannington,35392864,1.255553890,R4 520m Heat,4,,64368136,Miss Ronnie Mac,3,7.11,0.6493239261477464
Cannington,35392864,1.255553890,R4 520m Heat,4,,4746574,Scarletts Boy,4,8.7,0.6246719601162961
Cannington,35392864,1.255553890,R4 520m Heat,4,,89625268,Just A Foreman,5,6.54,0.7337884405730799
Cannington,35392864,1.255553890,R4 520m Heat,4,,69904329,Rhythmic Moment,6,32.96,0.4865192607484028
Cannington,35392864,1.255553890,R4 520m Heat,4,,90762615,Naughty Evie,7,13.82,0.5793846412224513
Cannington,35392864,1.255553890,R4 520m Heat,4,,76964913,Another James,8,33.54,0.5929841739177208
Cannington,35392864,1.255553895,R5 520m Heat,5,,91063590,Pat Card,1,7.25,0.5083418048036626
Cannington,35392864,1.255553895,R5 520m Heat,5,,70138998,Biscotti Blast,2,7.33,0.5201853055236173
Cannington,35392864,1.255553895,R5 520m Heat,5,,91063541,West On Tapper,3,13.67,0.6176295876257301
Cannington,35392864,1.255553895,R5 520m Heat,5,,78976696,Seek To Plan,4,24.72,0.4628345345185071
Cannington,35392864,1.255553895,R5 520m Heat,5,,90500176,Just A Piastri,5,4.34,0.7965733336666659
Cannington,35392864,1.255553895,R5 520m Heat,5,,92243099,King Nangar,6,7.7,0.5336522237995202
Cannington,35392864,1.255553895,R5 520m Heat,5,,3108656,Spencer,7,5.07,0.5906423394447133
Cannington,35392864,1.255553895,R5 520m Heat,5,,95840941,Take My Advice,8,18.36,0.5597154910469738
Cannington,35392864,1.255553900,R6 520m Heat,6,,96456703,Tarawi,1,3.46,0.7079573287276888
Cannington,35392864,1.255553900,R6 520m Heat,6,,84697388,Aston Ruler,2,8.16,0.5939097046325741
Cannington,35392864,1.255553900,R6 520m Heat,6,,81018813,Pursuit Special,3,5.04,0.4391544369287261
Cannington,35392864,1.255553900,R6 520m Heat,6,,71109899,West On Cole,4,29.48,0.5096914206028306
Cannington,35392864,1.255553900,R6 520m Heat,6,,83606042,Strip Weathers,5,8.92,0.6613603926850887
Cannington,35392864,1.255553900,R6 520m Heat,6,,84512080,Tic Tac Monelli,6,8.4,0.6244950724125276
Cannington,35392864,1.255553900,R6 520m Heat,6,,86893550,Weblec Max,7,22.96,0.6185408317547418
Cannington,35392864,1.255553900,R6 520m Heat,6,,90252736,Nangar Onyx,8,12.32,0.4424027384380358
Cannington,35392864,1.255553905,R7 520m FFA,7,,74494851,Ditalini Monelli,1,10.24,0.36782543291206116
Cannington,35392864,1.255553905,R7 520m FFA,7,,72168522,Our Ozzie Salute,2,4.39,0.8195290307817633
Cannington,35392864,1.255553905,R7 520m FFA,7,,83606040,Starlight Snowy,3,12.77,0.5495025900950508
Cannington,35392864,1.255553905,R7 520m FFA,7,,86143978,Pam Keeping,4,29.35,0.6525774187795049
Cannington,35392864,1.255553905,R7 520m FFA,7,,87545183,Iconic Guess,5,11.54,0.7255848741852392
Cannington,35392864,1.255553905,R7 520m FFA,7,,71905095,Iconic Jet,6,4.51,0.7358476854076086
Cannington,35392864,1.255553905,R7 520m FFA,7,,83870135,Mailata,7,6.77,0.7354120901073793
Cannington,35392864,1.255553905,R7 520m FFA,7,,71618442,Italian Stallion,8,9.43,0.7685173426964718
Cannington,35392864,1.255553910,R8 715m Gr5,8,,68994037,Cashing Out,1,3.52,0.4423855970941831
Cannington,35392864,1.255553910,R8 715m Gr5,8,,91693101,Capalla,2,8.98,0.3968240725960793
Cannington,35392864,1.255553910,R8 715m Gr5,8,,65788259,Flaws And Sins,3,4.65,0.5655884868117396
Cannington,35392864,1.255553910,R8 715m Gr5,8,,77965155,Tilly Rose,4,14.03,0.5845845278307789
Cannington,35392864,1.255553910,R8 715m Gr5,8,,85815580,Incredible Shine,5,11.72,0.5155276938711021
Cannington,35392864,1.255553910,R8 715m Gr5,8,,4996614,Black Tiger,6,15.71,0.4493612780802369
Cannington,35392864,1.255553910,R8 715m Gr5,8,,84912670,Destiny Lane,7,12.07,0.44443363453040174
Cannington,35392864,1.255553910,R8 715m Gr5,8,,78466316,West On Gnocchi,8,11.56,0.7080466087199142
Cannington,35392864,1.255553915,R9 520m Nvce,9,,94952052,Queen Goddess,1,25.87,0.5099336201571614
Cannington,35392864,1.255553915,R9 520m Nvce,9,,89437420,Clifton Kuna,2,5.28,0.31114824439965794
Cannington,35392864,1.255553915,R9 520m Nvce,9,,88466155,Rippin Ruby,3,5.7,0.4984030468716494
Cannington,35392864,1.255553915,R9 520m Nvce,9,,96456704,Turbo Tate,4,10.16,0.6233056109747894
Cannington,35392864,1.255553915,R9 520m Nvce,9,,96149008,Hard To Forget,5,9.19,0.4645279281047945
Cannington,35392864,1.255553915,R9 520m Nvce,9,,94099841,Yunderup Pockets,6,8.69,0.4810178055254549
Cannington,35392864,1.255553915,R9 520m Nvce,9,,90569566,Billy Me Goat,7,5.24,0.6396407254438357
Cannington,35392864,1.255553915,R9 520m Nvce,9,,72354608,Give Me Chills,8,12.0,0.5587452721869884
Dubbo,35392841,1.255553294,R1 400m Mdn,1,,96455743,Devon On Sauce,1,5.98,Unknown
Dubbo,35392841,1.255553294,R1 400m Mdn,1,,95540879,Wake Up Shadow,2,6.37,0.5043492587859624
