meetings.name,meetings.bfExchangeEventId,meetings.races.bfExchangeMarketId,meetings.races.name,meetings.races.number,meetings.races.comment,meetings.races.runners.bfExchangeSelectionId,meetings.races.runners.name,meetings.races.runners.number,meetings.races.runners.ratedPrice,meetings.races.runners.early_speed
Angle Park,35325939,1.254701610,R10 342m Heat,10,,81904353,Sebon Knight,1,6.45,0.47910153548164763
Angle Park,35325939,1.254701610,R10 342m Heat,10,,82117879,Tough Cookie,2,14.48,0.6125958892349821
Angle Park,35325939,1.254701610,R10 342m Heat,10,,54368637,Ultimate,4,6.76,0.48520219423637334
Angle Park,35325939,1.254701610,R10 342m Heat,10,,89394191,Mafia Mistress,5,2.97,0.48689431593331756
Angle Park,35325939,1.254701610,R10 342m Heat,10,,80975432,Stella Swift,7,8.27,0.5026454724269988
Angle Park,35325939,1.254701610,R10 342m Heat,10,,95662130,Kilcoy Lass,8,5.88,0.5093455545126994
Angle Park,35325939,1.254701613,R11 342m Heat,11,,80720273,Lifes A Joke,1,11.55,0.5305899289414788
Angle Park,35325939,1.254701613,R11 342m Heat,11,,92538694,Lefevre Gold,2,14.29,0.5324215468478825
Angle Park,35325939,1.254701613,R11 342m Heat,11,,82821370,Catch My Design,4,4.53,0.48518045303317114
Angle Park,35325939,1.254701613,R11 342m Heat,11,,95662131,Rio Hope,5,2.92,0.5491137230787884
Angle Park,35325939,1.254701613,R11 342m Heat,11,,78085012,Evolve,8,3.58,0.5667497851647012
Angle Park,35325939,1.254701616,R12 342m Heat,12,,95662133,Aileens Shine,1,2.37,0.5332301725467484
Angle Park,35325939,1.254701616,R12 342m Heat,12,,91808365,Black Eyed Girl,2,6.22,0.5093754049835872
Angle Park,35325939,1.254701616,R12 342m Heat,12,,73484212,Road Less Travel,4,10.19,0.5400747445378684
Angle Park,35325939,1.254701616,R12 342m Heat,12,,89625386,Goldie Rusty,7,6.92,0.5150768744025999
Angle Park,35325939,1.254701616,R12 342m Heat,12,,93022950,Hooked On Dreams,8,5.74,0.47334639152113916
Angle Park,35325939,1.254701607,R9 342m Heat,9,,87094291,Hot Ruby,1,3.54,0.5383940756186496
Angle Park,35325939,1.254701607,R9 342m Heat,9,,92830679,Busy Earnin,2,6.31,0.42656336661390437
Angle Park,35325939,1.254701607,R9 342m Heat,9,,73794213,American Indian,4,4.57,0.4610759354157109
Angle Park,35325939,1.254701607,R9 342m Heat,9,,95662129,Black Ninja,6,5.43,0.5322337293659922
Angle Park,35325939,1.254701607,R9 342m Heat,9,,94986272,Roll On Coaster,8,6.42,0.45166908065087236
Ballarat,35325916,1.254701338,R1 450m Mdn,1,,91872747,White Shamrock,1,3.41,0.4312526030231656
Ballarat,35325916,1.254701338,R1 450m Mdn,1,,95303378,Compute,2,8.87,0.216245536522543
Ballarat,35325916,1.254701338,R1 450m Mdn,1,,95809628,Juneau Sangria,4,11.8,0.21769005872065478
Ballarat,35325916,1.254701338,R1 450m Mdn,1,,4981242,Patience,5,4.24,0.7318290878719974
Ballarat,35325916,1.254701338,R1 450m Mdn,1,,95809629,Aston Machine,7,4.66,0.34755043661529705
Ballarat,35325916,1.254701338,R1 450m Mdn,1,,95809630,Fabulous Furiosa,8,17.24,0.1757608840867263
Ballarat,35325916,1.254701383,R10 390m Gr6,10,,86620835,How Awesome,1,3.82,0.7304295872799095
Ballarat,35325916,1.254701383,R10 390m Gr6,10,,92703238,Paw Quintessa,2,7.06,0.4224143362125665
Ballarat,35325916,1.254701383,R10 390m Gr6,10,,93207102,Paw Irulan,4,3.85,0.24766532343655978
Ballarat,35325916,1.254701383,R10 390m Gr6,10,,91063528,Paw Whisper,5,5.72,0.6632802360752856
Ballarat,35325916,1.254701383,R10 390m Gr6,10,,73754389,Solar Tess,7,48.42,0.35149743459485583
Ballarat,35325916,1.254701383,R10 390m Gr6,10,,92822674,Glimmer Of Hope,8,7.09,0.61578762517843
Ballarat,35325916,1.254701388,R11 390m Gr3/4,11,,86620852,Paw Clarissa,1,4.91,0.8990989649260523
Ballarat,35325916,1.254701388,R11 390m Gr3/4,11,,76612951,Lauriston Girl,2,12.43,0.5009790015238123
Ballarat,35325916,1.254701388,R11 390m Gr3/4,11,,67325249,Aston Warrior,4,38.65,0.7722255024875787
Ballarat,35325916,1.254701388,R11 390m Gr3/4,11,,95301128,Hara Hachi Bu,5,1.51,0.8881429869107752
Ballarat,35325916,1.254701388,R11 390m Gr3/4,11,,65788105,Gas Lantern,7,77.74,0.7459856193870494
Ballarat,35325916,1.254701388,R11 390m Gr3/4,11,,77139963,Something Good,8,64.58,0.8349239675918299
Ballarat,35325916,1.254701393,R12 450m Gr5,12,,84223503,Sonias Beauty,1,5.89,0.6660448974978754
Ballarat,35325916,1.254701393,R12 450m Gr5,12,,84511756,Aston Yamato,2,11.02,0.5431004252975857
Ballarat,35325916,1.254701393,R12 450m Gr5,12,,77647307,Axels Radar,4,26.19,0.5340230707679025
Ballarat,35325916,1.254701393,R12 450m Gr5,12,,72018863,Noahs Best,5,4.33,0.3218221641686733
Ballarat,35325916,1.254701393,R12 450m Gr5,12,,95387035,Paw Welkes,7,2.83,0.617858890130196
Ballarat,35325916,1.254701393,R12 450m Gr5,12,,88069756,Did Not,8,8.56,0.4811555450166564
Ballarat,35325916,1.254701398,R13 390m Gr5,13,,59848425,Something Clever,1,25.45,0.48258465672447376
Ballarat,35325916,1.254701398,R13 390m Gr5,13,,70929157,Higher Force,2,7.78,0.573867452218076
Ballarat,35325916,1.254701398,R13 390m Gr5,13,,95809642,Paw Gusto,3,2.22,0.7680358992359686
Ballarat,35325916,1.254701398,R13 390m Gr5,13,,95809643,Paw Sapphire,4,5.16,0.5592457810287199
Ballarat,35325916,1.254701398,R13 390m Gr5,13,,79525694,Paw London,6,35.65,0.7887178791753056
Ballarat,35325916,1.254701398,R13 390m Gr5,13,,95809644,Paw Renalla,7,9.37,0.8423832041463544
Ballarat,35325916,1.254701398,R13 390m Gr5,13,,68674866,Valletta Dash,8,18.46,0.844174044045298
Ballarat,35325916,1.254701403,R14 390m Gr5,14,,88611865,Flying Damiro,1,12.44,0.5048474897161133
Ballarat,35325916,1.254701403,R14 390m Gr5,14,,95809645,Cordova,2,12.08,0.6215738826045198
Ballarat,35325916,1.254701403,R14 390m Gr5,14,,91117507,Aston Haruto,3,11.38,0.6836446824272877
Ballarat,35325916,1.254701403,R14 390m Gr5,14,,94780075,Paw Ingrid,4,21.44,0.5820686597397713
Ballarat,35325916,1.254701403,R14 390m Gr5,14,,76912060,Touch Of Sin,6,3.39,0.5399880477155112
Ballarat,35325916,1.254701403,R14 390m Gr5,14,,95809646,Our Patch,7,3.5,0.7468921024827755
Ballarat,35325916,1.254701403,R14 390m Gr5,14,,90604229,Collective Kaos,8,8.23,0.6123147121897623
Ballarat,35325916,1.254701343,R2 390m Mdn,2,,95809632,Mr Billy Lee,2,3.54,Unknown
Ballarat,35325916,1.254701343,R2 390m Mdn,2,,95809633,Kensington Girl,4,3.87,Unknown
Ballarat,35325916,1.254701343,R2 390m Mdn,2,,95809634,Paw Jadore,5,5.74,0.08292268266447023
Ballarat,35325916,1.254701343,R2 390m Mdn,2,,95581912,Paw Alicia,7,6.06,0.17395351286398886
Ballarat,35325916,1.254701343,R2 390m Mdn,2,,94182878,Good Odds Luigi,8,8.34,0.25244600723075067
Ballarat,35325916,1.254701348,R3 390m Gr5,3,,85181265,Phoenix Red,1,9.9,0.3526273576521564
Ballarat,35325916,1.254701348,R3 390m Gr5,3,,75916439,Speedy Khe Sanh,2,6.83,0.5570845926566672
Ballarat,35325916,1.254701348,R3 390m Gr5,3,,78231876,Major Allen,4,8.46,0.40500715966489453
Ballarat,35325916,1.254701348,R3 390m Gr5,3,,67789323,Time To Prophet,6,16.77,0.6777328850200592
Ballarat,35325916,1.254701348,R3 390m Gr5,3,,72380209,Sketchy Demos,8,1.74,0.30765886108540996
Ballarat,35325916,1.254701353,R4 450m Gr4/5,4,,60183795,Tension Head,1,11.28,0.8063308042288563
Ballarat,35325916,1.254701353,R4 450m Gr4/5,4,,74494414,Perfect Ace,2,43.63,0.6138178545978614
Ballarat,35325916,1.254701353,R4 450m Gr4/5,4,,88420348,Matchbox Beast,4,2.8,0.7805568853555002
Ballarat,35325916,1.254701353,R4 450m Gr4/5,4,,80639366,Matchbox Honey,5,22.4,0.6851156289670393
Ballarat,35325916,1.254701353,R4 450m Gr4/5,4,,92703758,Baby Beets,7,2.9,0.6248009689378377
Ballarat,35325916,1.254701353,R4 450m Gr4/5,4,,82389515,Moyarra Kongk,8,7.09,0.8078803223387714
Ballarat,35325916,1.254701358,R5 390m Gr5,5,,67789261,Released,1,22.38,0.7207124250312996
Ballarat,35325916,1.254701358,R5 390m Gr5,5,,92087877,Paw Brody,2,4.18,0.43061198112837346
Ballarat,35325916,1.254701358,R5 390m Gr5,5,,68791632,Aston Monarchy,3,5.38,0.7900252994485618
Ballarat,35325916,1.254701358,R5 390m Gr5,5,,66580660,Myrniong Storm,4,3.16,0.5052540239863974
Ballarat,35325916,1.254701358,R5 390m Gr5,5,,85586800,She Rebel,6,12.13,0.7234855153393454
Ballarat,35325916,1.254701358,R5 390m Gr5,5,,79332175,Starship Atlas,7,9.13,0.5162499451802616
Ballarat,35325916,1.254701358,R5 390m Gr5,5,,67560617,Sorry Im Late,8,45.78,Unknown
Ballarat,35325916,1.254701363,R6 450m Gr7,6,,93537289,Paw Brutus,1,3.14,0.39033125189104456
