meetings.name,meetings.bfExchangeEventId,meetings.races.bfExchangeMarketId,meetings.races.name,meetings.races.number,meetings.races.comment,meetings.races.runners.bfExchangeSelectionId,meetings.races.runners.name,meetings.races.runners.number,meetings.races.runners.ratedPrice,meetings.races.runners.early_speed
Angle Park,35382374,1.255445139,R1 342m Final,1,,87808123,Mountain Hawk,1,3.57,0.41736606196093157
Angle Park,35382374,1.255445139,R1 342m Final,1,,72609877,South Girls,2,54.26,0.29022229773323044
Angle Park,35382374,1.255445139,R1 342m Final,1,,53089157,Tree Town,4,123.74,0.3162148673936913
Angle Park,35382374,1.255445139,R1 342m Final,1,,80640870,Swift Ascent,5,3.67,0.40449258195228416
Angle Park,35382374,1.255445139,R1 342m Final,1,,93240488,Elbows Alleyway,7,3.33,0.4137083548235281
Angle Park,35382374,1.255445139,R1 342m Final,1,,83846346,Not The Gravy,8,8.27,0.38290129182827987
Angle Park,35382374,1.255445184,R10 342m Final,10,,66331749,Crying Tiger,1,3.38,0.4856292817149079
Angle Park,35382374,1.255445184,R10 342m Final,10,,62840673,Brindle Benny,2,4.25,0.6400386635334258
Angle Park,35382374,1.255445184,R10 342m Final,10,,81439742,Optimistic Reign,4,5.78,0.45818467131450547
Angle Park,35382374,1.255445184,R10 342m Final,10,,78813313,Aston Biden,7,8.22,0.4709027781964153
Angle Park,35382374,1.255445184,R10 342m Final,10,,88113586,Elegant Cindy,8,11.91,0.5931488042349106
Angle Park,35382374,1.255445184,R10 342m Final,10,,86020579,Smooth Paradise,9,11.09,0.5523170399043374
Angle Park,35382374,1.255445189,R11 342m Final,11,,81850328,Elegant Zephyr,1,9.18,0.6543339242063492
Angle Park,35382374,1.255445189,R11 342m Final,11,,78755777,Haydens Milk,2,3.69,0.5499507243601347
Angle Park,35382374,1.255445189,R11 342m Final,11,,70705035,Blue Energy,5,4.4,0.49529163094703205
Angle Park,35382374,1.255445189,R11 342m Final,11,,73678823,Sudoku Rosie,8,7.57,0.6227141136502194
Angle Park,35382374,1.255445189,R11 342m Final,11,,66654273,Our Bella Rose,9,7.36,0.5489752986446166
Angle Park,35382374,1.255445189,R11 342m Final,11,,96220659,Binnaway Sands,10,7.99,0.5043470787654546
Angle Park,35382374,1.255445194,R12 342m Final,12,,69352911,Victa Bob,1,79.95,0.2437359140070043
Angle Park,35382374,1.255445194,R12 342m Final,12,,75481593,Minh Jack,2,3.18,0.47263182163463696
Angle Park,35382374,1.255445194,R12 342m Final,12,,61489767,Starlet Edition,4,5.69,0.6329157858808555
Angle Park,35382374,1.255445194,R12 342m Final,12,,64494429,Shaka Goes Bang,7,5.51,0.6072465401262581
Angle Park,35382374,1.255445194,R12 342m Final,12,,81017569,Cantara Pearl,9,11.07,0.5180308715595477
Angle Park,35382374,1.255445194,R12 342m Final,12,,64207266,Prime Voltage,10,4.44,0.5017684328931097
Angle Park,35382374,1.255445144,R2 342m Final,2,,93177961,Pink Poppy Club,1,4.09,0.48130418317614343
Angle Park,35382374,1.255445144,R2 342m Final,2,,92538690,Come Back Candy,2,5.01,0.5062099260897821
Angle Park,35382374,1.255445144,R2 342m Final,2,,86696241,Once A Diva,4,5.43,0.4595810697588689
Angle Park,35382374,1.255445144,R2 342m Final,2,,78052197,Dame Truculent,5,4.69,0.5098118916153755
Angle Park,35382374,1.255445144,R2 342m Final,2,,93322576,Exultant McLaren,7,13.57,Unknown
Angle Park,35382374,1.255445144,R2 342m Final,2,,62262928,Slippers Daisy,8,11.77,0.48977519663810265
Angle Park,35382374,1.255445149,R3 342m Final,3,,96220649,Transformation,1,2.1,0.6391081202136735
Angle Park,35382374,1.255445149,R3 342m Final,3,,92538694,Lefevre Gold,2,10.02,0.4967577041093699
Angle Park,35382374,1.255445149,R3 342m Final,3,,84696969,Raven Zaylee,4,6.34,0.5213063948345956
Angle Park,35382374,1.255445149,R3 342m Final,3,,90296564,Centre Bounce,5,9.98,0.5167061779377979
Angle Park,35382374,1.255445149,R3 342m Final,3,,79294644,On The Strip,7,9.19,0.437859777073644
Angle Park,35382374,1.255445149,R3 342m Final,3,,89110967,Im My Design,8,17.46,Unknown
Angle Park,35382374,1.255445154,R4 342m Final,4,,93022947,Time Of Design,1,5.58,0.5458219185207871
Angle Park,35382374,1.255445154,R4 342m Final,4,,96220652,No Fizzy Drink,2,6.07,0.3256166520091756
Angle Park,35382374,1.255445154,R4 342m Final,4,,94449213,Conners Rain,4,5.64,0.49335717250985683
Angle Park,35382374,1.255445154,R4 342m Final,4,,82117880,Elegant Flint,5,6.5,0.437388036600292
Angle Park,35382374,1.255445154,R4 342m Final,4,,83052870,Catch My Design,7,11.11,0.5225241140512836
Angle Park,35382374,1.255445154,R4 342m Final,4,,93022950,Hooked On Dreams,8,4.26,0.4998514014062362
Angle Park,35382374,1.255445159,R5 342m Final,5,,74900624,Road Less Travel,1,6.38,0.5311167162916126
Angle Park,35382374,1.255445159,R5 342m Final,5,,92215702,Error Code,2,8.35,0.5217326010171605
