meetings.name,meetings.bfExchangeEventId,meetings.races.bfExchangeMarketId,meetings.races.name,meetings.races.number,meetings.races.comment,meetings.races.runners.bfExchangeSelectionId,meetings.races.runners.name,meetings.races.runners.number,meetings.races.runners.ratedPrice,meetings.races.runners.early_speed
Broken Hill,35370404,1.255272701,R1 375m Mdn,1,,93207687,Skedaddle Timmy,1,3.78,0.5526679251252127
Broken Hill,35370404,1.255272701,R1 375m Mdn,1,,95881433,Dont Tell Milly,2,6.51,Unknown
Broken Hill,35370404,1.255272701,R1 375m Mdn,1,,86347960,Visibility,3,5.5,Unknown
Broken Hill,35370404,1.255272701,R1 375m Mdn,1,,94375822,Sponsorship,4,4.62,0.5509817124400509
Broken Hill,35370404,1.255272701,R1 375m Mdn,1,,96181294,Flying Sooty,7,10.01,Unknown
Broken Hill,35370404,1.255272701,R1 375m Mdn,1,,81813734,All The Spoils,8,11.93,Unknown
Broken Hill,35370404,1.255272706,R2 375m Gr5,2,,96181295,Freddy Live Wire,1,3.2,Unknown
Broken Hill,35370404,1.255272706,R2 375m Gr5,2,,91533128,Archer Twelve,4,6.86,0.46758726691639796
Broken Hill,35370404,1.255272706,R2 375m Gr5,2,,94487284,Skedaddle Lulu,5,7.04,0.23181296229930393
Broken Hill,35370404,1.255272706,R2 375m Gr5,2,,96181296,Charming Lola,7,5.43,Unknown
Broken Hill,35370404,1.255272706,R2 375m Gr5,2,,94060881,Busy Earnin,8,4.65,0.5038882241476841
Broken Hill,35370404,1.255272711,R3 375m Gr5,3,,94099808,Skedaddle Benny,1,3.26,0.3615092565041028
Broken Hill,35370404,1.255272711,R3 375m Gr5,3,,96181297,Winnie Mouse,2,4.97,Unknown
Broken Hill,35370404,1.255272711,R3 375m Gr5,3,,85745637,Pretty Esmay,4,9.25,0.35692629677851506
Broken Hill,35370404,1.255272711,R3 375m Gr5,3,,86621517,Wrinkled Henry,5,9.97,0.26586843193451254
Broken Hill,35370404,1.255272711,R3 375m Gr5,3,,90799362,Hes A Felon,7,5.53,Unknown
Broken Hill,35370404,1.255272711,R3 375m Gr5,3,,81776505,In The West,8,9.76,0.6427512611788571
Broken Hill,35370404,1.255272716,R4 375m Gr5,4,,81520095,Simpkin,1,4.5,Unknown
Broken Hill,35370404,1.255272716,R4 375m Gr5,4,,82603429,State Of Madness,2,3.49,0.33709735423500164
Broken Hill,35370404,1.255272716,R4 375m Gr5,4,,76964863,Hes A Riddler,4,6.18,0.5056996009378949
Broken Hill,35370404,1.255272716,R4 375m Gr5,4,,75718596,Masked Riot,6,14.41,Unknown
Broken Hill,35370404,1.255272716,R4 375m Gr5,4,,83642711,Del Mar Sal,7,9.44,Unknown
