meetings.name,meetings.bfExchangeEventId,meetings.races.bfExchangeMarketId,meetings.races.name,meetings.races.number,meetings.races.comment,meetings.races.runners.bfExchangeSelectionId,meetings.races.runners.name,meetings.races.runners.number,meetings.races.runners.ratedPrice,meetings.races.runners.early_speed
Angle Park,35374578,1.255327258,R1 595m Gr5/6,1,,5159626,Rock It Kathy,1,3.78,0.5090311477658863
Angle Park,35374578,1.255327258,R1 595m Gr5/6,1,,69830121,Paw Louis,2,11.14,0.44904172793431507
Angle Park,35374578,1.255327258,R1 595m Gr5/6,1,,72276549,Jan Hewett,4,9.16,0.46083702400478643
Angle Park,35374578,1.255327258,R1 595m Gr5/6,1,,41565372,Manifesto,5,3.95,0.49786872496521417
Angle Park,35374578,1.255327258,R1 595m Gr5/6,1,,87249451,Bacardi Girl,7,5.22,0.3335788464196987
Angle Park,35374578,1.255327258,R1 595m Gr5/6,1,,83314949,Power Move,8,10.89,0.3610283842832632
Angle Park,35374578,1.255327303,R10 530m Gr5,10,,74229462,Minnies My Mum,1,2.21,0.7286749457690851
Angle Park,35374578,1.255327303,R10 530m Gr5,10,,72018861,Jalapeno Gem,2,8.98,0.47624268982977724
Angle Park,35374578,1.255327303,R10 530m Gr5,10,,75639084,Paw Eva,4,11.5,0.5170754102815329
Angle Park,35374578,1.255327303,R10 530m Gr5,10,,73920396,Eldritch,6,21.04,0.5479189005030931
Angle Park,35374578,1.255327303,R10 530m Gr5,10,,91874141,Canya Nameless,8,3.31,0.7169329827528623
Angle Park,35374578,1.255327308,R11 342m Gr6,11,,90488021,Dollys My Mum,1,2.97,0.5706523158960253
Angle Park,35374578,1.255327308,R11 342m Gr6,11,,72949550,Evolve,2,16.98,0.5820645114846592
Angle Park,35374578,1.255327308,R11 342m Gr6,11,,88652051,Thumani,4,6.12,0.5712955670687604
Angle Park,35374578,1.255327308,R11 342m Gr6,11,,93467008,Flying Hugo,5,5.13,0.6909753218082487
Angle Park,35374578,1.255327308,R11 342m Gr6,11,,79573326,Binnaway Wizard,7,7.6,0.5506678688599884
Angle Park,35374578,1.255327308,R11 342m Gr6,11,,81186696,Specked,8,8.76,0.5535516611755555
Angle Park,35374578,1.255327313,R12 342m Gr6,12,,89393505,Shes Got Design,1,8.28,0.5439629674631257
Angle Park,35374578,1.255327313,R12 342m Gr6,12,,96291585,Equivocal,2,2.94,0.6807545751819502
Angle Park,35374578,1.255327313,R12 342m Gr6,12,,82539315,Significant,4,10.11,0.5363759557718901
Angle Park,35374578,1.255327313,R12 342m Gr6,12,,87497357,Adhana Martina,8,7.63,0.5103593764200399
Angle Park,35374578,1.255327313,R12 342m Gr6,12,,71012284,Russo,9,12.1,0.4843618916389095
Angle Park,35374578,1.255327313,R12 342m Gr6,12,,96291588,Pure Gout,10,4.41,0.5875203747315016
Angle Park,35374578,1.255327263,R2 342m Mdn,2,,7450354,Gulf Stream,1,10.94,0.32124992899275884
Angle Park,35374578,1.255327263,R2 342m Mdn,2,,96291579,Springvale Margi,2,3.25,0.5139212269558833
Angle Park,35374578,1.255327263,R2 342m Mdn,2,,93613283,Legend Blue Buzz,4,13.55,0.33700405727634564
Angle Park,35374578,1.255327263,R2 342m Mdn,2,,96291580,Adhana Derek,6,5.72,0.23001727487498402
Angle Park,35374578,1.255327263,R2 342m Mdn,2,,96291581,Mccracken,8,2.84,0.43495774822249006
Angle Park,35374578,1.255327268,R3 730m Gr5/6,3,,78811729,Memories Of Rose,1,2.99,0.5968341829937475
Angle Park,35374578,1.255327268,R3 730m Gr5/6,3,,84473455,Corryong,2,30.72,0.4295370899789813
Angle Park,35374578,1.255327268,R3 730m Gr5/6,3,,71436660,Canya Vivi,3,10.42,0.4830008853154067
Angle Park,35374578,1.255327268,R3 730m Gr5/6,3,,81565740,Nitrous,4,6.19,0.3461852830999027
Angle Park,35374578,1.255327268,R3 730m Gr5/6,3,,83605480,Moscow Chick,6,5.12,0.49184325275570284
Angle Park,35374578,1.255327268,R3 730m Gr5/6,3,,82118053,Whodat Hooked,7,19.87,0.304845094507627
Angle Park,35374578,1.255327268,R3 730m Gr5/6,3,,73678307,Compton Rocky,8,7.69,0.41655895873177134
Angle Park,35374578,1.255327273,R4 530m S/E,4,,95662133,Aileens Shine,1,4.89,0.5725668106393489
Angle Park,35374578,1.255327273,R4 530m S/E,4,,94227641,Adhana Chucky,2,9.89,0.36577936505838327
Angle Park,35374578,1.255327273,R4 530m S/E,4,,87380188,Victa Krev,4,2.44,0.7199175581865596
Angle Park,35374578,1.255327273,R4 530m S/E,4,,94099594,Victa Wally,7,6.4,0.5133121695821986
Angle Park,35374578,1.255327273,R4 530m S/E,4,,91361083,Big Stretch,8,7.79,0.46909360691383906
Angle Park,35374578,1.255327278,R5 530m S/E,5,,91694626,Wilmas Our Girl,1,5.19,0.3892283636257379
Angle Park,35374578,1.255327278,R5 530m S/E,5,,4964893,Jetson,2,3.64,0.55221948932785
Angle Park,35374578,1.255327278,R5 530m S/E,5,,95303312,Hijinkery,4,6.03,0.5919594274446904
Angle Park,35374578,1.255327278,R5 530m S/E,5,,93829512,Ribery,5,3.98,0.6093256113152756
Angle Park,35374578,1.255327278,R5 530m S/E,5,,96291582,Claymore Lass,7,11.25,0.6001736893150851
Angle Park,35374578,1.255327278,R5 530m S/E,5,,87380195,Victa Howard,8,36.6,0.43182526350941064
Angle Park,35374578,1.255327283,R6 342m FFA,6,,72584084,Honey Zen,1,3.38,0.7186197631764559
Angle Park,35374578,1.255327283,R6 342m FFA,6,,62686509,Runaway Merv,2,13.32,0.7592819845962859
Angle Park,35374578,1.255327283,R6 342m FFA,6,,86398755,Indie Or Jill,3,15.04,0.5456127317106467
Angle Park,35374578,1.255327283,R6 342m FFA,6,,80680117,Ouzo And Coke,4,26.43,0.5209401249711015
Angle Park,35374578,1.255327283,R6 342m FFA,6,,74301048,Breaker Of Rules,6,6.45,0.7185076290469165
Angle Park,35374578,1.255327283,R6 342m FFA,6,,77770288,Town Stranger,7,3.63,0.5354445538213373
Angle Park,35374578,1.255327283,R6 342m FFA,6,,70633881,Toora Terry,8,10.64,0.5727088186663799
Angle Park,35374578,1.255327288,R7 342m Gr5,7,,62177917,Bella Mac,1,8.7,0.5552153636175112
Angle Park,35374578,1.255327288,R7 342m Gr5,7,,64243912,Wild Star,2,3.24,0.6547988339927387
Angle Park,35374578,1.255327288,R7 342m Gr5,7,,95350159,Roll On Coaster,3,5.49,0.5849819220863434
Angle Park,35374578,1.255327288,R7 342m Gr5,7,,94689617,Dashing Darley,4,23.37,0.5376389885935081
Angle Park,35374578,1.255327288,R7 342m Gr5,7,,57046174,Slippers Maggie,5,63.04,0.45358555137802004
Angle Park,35374578,1.255327288,R7 342m Gr5,7,,68791711,Slippers Shine,6,57.77,0.5631855364390681
Angle Park,35374578,1.255327288,R7 342m Gr5,7,,77137122,Toora Gracie,7,18.12,0.6233673039132983
Angle Park,35374578,1.255327288,R7 342m Gr5,7,,88152088,Rippin Pedro,8,3.8,0.652249229041495
Angle Park,35374578,1.255327293,R8 530m Gr6,8,,86143958,Toby Keeping,1,5.28,0.5630116585381943
Angle Park,35374578,1.255327293,R8 530m Gr6,8,,92117649,Compton Rocks,2,5.38,0.5842783185402294
Angle Park,35374578,1.255327293,R8 530m Gr6,8,,88707402,Duran Pantera,3,10.56,0.6761076095440224
Angle Park,35374578,1.255327293,R8 530m Gr6,8,,89931697,Black Eyed Girl,4,33.6,0.4884625091104276
Angle Park,35374578,1.255327293,R8 530m Gr6,8,,96291583,Compton Gypsy,5,3.43,0.6945956631276681
Angle Park,35374578,1.255327293,R8 530m Gr6,8,,82821371,Tenacious Design,6,15.75,0.6330773059293783
Angle Park,35374578,1.255327293,R8 530m Gr6,8,,86622014,Our Beaver,7,22.22,0.42107328548650935
Angle Park,35374578,1.255327293,R8 530m Gr6,8,,83953174,Dashing Nando,8,9.97,0.6932099187703963
Angle Park,35374578,1.255327298,R9 530m Gr4/5,9,,77428845,Statue Of Time,1,4.94,0.34663264154983436
Angle Park,35374578,1.255327298,R9 530m Gr4/5,9,,71868539,Crocodile Roll,3,9.6,0.5760715870452628
Angle Park,35374578,1.255327298,R9 530m Gr4/5,9,,88301880,Capybara,5,2.89,0.5451415596030703
Angle Park,35374578,1.255327298,R9 530m Gr4/5,9,,64575301,Kisauni,7,2.87,0.6639129461766662
Ballarat,35374994,1.255336170,R12 390m Gr5,12,,89437813,Abracadabra,1,5.35,0.738436847500636
Ballarat,35374994,1.255336170,R12 390m Gr5,12,,72062568,Super Ceviche,2,14.07,0.6635516544083622
Ballarat,35374994,1.255336170,R12 390m Gr5,12,,96221939,Paw Atreides,4,12.85,0.45056100892413453
Ballarat,35374994,1.255336170,R12 390m Gr5,12,,87207965,Chatter Beast,5,3.93,0.8229188116845609
Ballarat,35374994,1.255336170,R12 390m Gr5,12,,71436869,Paw Cheyenne,7,10.54,0.46686081730130763
Ballarat,35374994,1.255336170,R12 390m Gr5,12,,88733913,Kiani Star,8,3.18,0.5703804895635334
Ballarat,35374994,1.255336173,R13 390m Gr5,13,,81478745,Paw Kiplin,1,15.09,0.4844776998881336
Ballarat,35374994,1.255336173,R13 390m Gr5,13,,73721569,Moraine Grace,2,7.71,0.8449768208262969
