meetings.name,meetings.bfExchangeEventId,meetings.races.bfExchangeMarketId,meetings.races.name,meetings.races.number,meetings.races.comment,meetings.races.runners.bfExchangeSelectionId,meetings.races.runners.name,meetings.races.runners.number,meetings.races.runners.ratedPrice,meetings.races.runners.early_speed
Bendigo,35416405,1.255840309,R1 425m Mdn,1,,96748480,Land Of Anger,1,8.55,Unknown
Bendigo,35416405,1.255840309,R1 425m Mdn,1,,96748481,Stacey Devere,2,9.08,Unknown
Bendigo,35416405,1.255840309,R1 425m Mdn,1,,96748482,Aston Cosmic,3,8.06,0.4635549182883516
Bendigo,35416405,1.255840309,R1 425m Mdn,1,,96456423,Ice Candy,4,2.53,0.6623700376918908
Bendigo,35416405,1.255840309,R1 425m Mdn,1,,96748483,Bundy Boy,6,9.86,Unknown
Bendigo,35416405,1.255840309,R1 425m Mdn,1,,96748484,Pats For Ruby,7,9.58,Unknown
Bendigo,35416405,1.255840309,R1 425m Mdn,1,,96748485,All Net,8,20.75,0.10575734062033004
Bendigo,35416405,1.255840354,R10 425m FFA,10,,93240840,Heathcote Rupee,1,6.9,0.6220070634057964
Bendigo,35416405,1.255840354,R10 425m FFA,10,,87497414,Flaming Smooth,2,4.27,0.5423917137782682
Bendigo,35416405,1.255840354,R10 425m FFA,10,,78290372,Moraine Piper,3,74.15,0.7352812657969754
Bendigo,35416405,1.255840354,R10 425m FFA,10,,67009431,Boracay Storm,4,4.56,0.6500584058159697
Bendigo,35416405,1.255840354,R10 425m FFA,10,,64458915,Jetstream Icon,6,2.57,0.5869274446397796
Bendigo,35416405,1.255840359,R11 425m Gr5,11,,2789091,Frenzy,1,6.12,0.5016975776976788
Bendigo,35416405,1.255840359,R11 425m Gr5,11,,86018733,Laid Back Lass,2,6.15,0.7311301027008045
Bendigo,35416405,1.255840359,R11 425m Gr5,11,,94181258,Affordability,3,90.82,0.1565633494719824
Bendigo,35416405,1.255840359,R11 425m Gr5,11,,88291206,Oddly Cool,4,7.37,0.7870788211964581
Bendigo,35416405,1.255840359,R11 425m Gr5,11,,90324947,Just Quickly,5,20.52,0.45428269693648593
Bendigo,35416405,1.255840359,R11 425m Gr5,11,,96748500,Dapper Chap,6,2.8,0.8149539914231823
Bendigo,35416405,1.255840359,R11 425m Gr5,11,,57916891,Shima Stripe,7,14.36,0.6575393205782816
Bendigo,35416405,1.255840359,R11 425m Gr5,11,,80720329,Rock Eternal,8,19.22,0.7388986002017907
Bendigo,35416405,1.255840364,R12 425m Gr5,12,,84983427,Sonias Beauty,2,4.64,0.6248989269460672
Bendigo,35416405,1.255840364,R12 425m Gr5,12,,73992209,Reckless,3,2.3,0.7125287320496817
Bendigo,35416405,1.255840364,R12 425m Gr5,12,,86948072,Pelicans Sunday,4,15.88,0.6535387586780457
Bendigo,35416405,1.255840364,R12 425m Gr5,12,,70533902,Nalas Ghost,5,17.71,0.5916548235127373
Bendigo,35416405,1.255840364,R12 425m Gr5,12,,66580669,Darra Sapphire,6,23.74,0.3848293135090415
Bendigo,35416405,1.255840364,R12 425m Gr5,12,,65695175,Jeds Memory,7,17.86,0.5800469998100531
Bendigo,35416405,1.255840364,R12 425m Gr5,12,,86854937,Two Truths,8,7.57,0.851073571497998
Bendigo,35416405,1.255840314,R2 425m Gr6/7,2,,90525407,Caved In,1,29.37,0.11160078332181625
Bendigo,35416405,1.255840314,R2 425m Gr6/7,2,,96748486,Cheeky Alessia,2,5.96,0.6191544985931487
Bendigo,35416405,1.255840314,R2 425m Gr6/7,2,,90210084,New Sheriff,3,14.81,0.7566183413337706
Bendigo,35416405,1.255840314,R2 425m Gr6/7,2,,94780288,Billies Rainbow,4,3.91,0.6316195684677266
Bendigo,35416405,1.255840314,R2 425m Gr6/7,2,,96748487,Pouring Chandon,6,3.42,0.921406813572688
Bendigo,35416405,1.255840314,R2 425m Gr6/7,2,,87769316,Who She Rules,7,7.81,0.6610318131318285
Bendigo,35416405,1.255840314,R2 425m Gr6/7,2,,95386087,Three Votes Nick,8,18.6,0.42353234841197623
Bendigo,35416405,1.255840319,R3 425m Heat,3,,79803428,Kates Rift,1,38.23,0.6313100828430803
Bendigo,35416405,1.255840319,R3 425m Heat,3,,41483500,Sweet Millie,2,6.17,0.9475830120901068
Bendigo,35416405,1.255840319,R3 425m Heat,3,,88028102,Barooga Queen,3,18.58,0.8372508603261922
Bendigo,35416405,1.255840319,R3 425m Heat,3,,96291597,Cheeky Meeki,4,3.49,0.5258420237688322
Bendigo,35416405,1.255840319,R3 425m Heat,3,,92117542,Mystifying Lomar,5,7.26,0.7249410304655532
Bendigo,35416405,1.255840319,R3 425m Heat,3,,96183691,Amron Lucy,6,6.73,0.7448320816777514
Bendigo,35416405,1.255840319,R3 425m Heat,3,,90569600,Slick Ability,7,8.85,0.7773371272375252
Bendigo,35416405,1.255840319,R3 425m Heat,3,,92823088,Rothwell Bonnie,8,13.88,0.5600021730135112
Bendigo,35416405,1.255840324,R4 425m Heat,4,,93919062,Chevron Stroll,1,7.71,0.7491715879440763
Bendigo,35416405,1.255840324,R4 425m Heat,4,,88694954,Excitable Dash,2,26.17,0.8032352953843702
Bendigo,35416405,1.255840324,R4 425m Heat,4,,92830798,Onyx Lass,3,11.61,0.7498577919123908
Bendigo,35416405,1.255840324,R4 425m Heat,4,,93789381,Deadly Cool,4,2.16,0.6338599868689195
Bendigo,35416405,1.255840324,R4 425m Heat,4,,96748490,Thermal Heat,5,12.25,0.8891134927680211
Bendigo,35416405,1.255840324,R4 425m Heat,4,,95967712,Whoppi Devere,6,17.6,0.5167639633629314
Bendigo,35416405,1.255840324,R4 425m Heat,4,,96748491,Blackpool Winter,7,11.0,0.4494754570299118
Bendigo,35416405,1.255840324,R4 425m Heat,4,,96748492,Aston Saturn,8,18.39,0.6835386938021311
Bendigo,35416405,1.255840329,R5 425m Heat,5,,78781463,Tactician,1,24.77,0.2992371597259006
Bendigo,35416405,1.255840329,R5 425m Heat,5,,95920723,Eleventh Scotch,2,10.21,0.5572939756573909
Bendigo,35416405,1.255840329,R5 425m Heat,5,,88564098,Deep Thinker,3,3.93,0.6865770944790239
Bendigo,35416405,1.255840329,R5 425m Heat,5,,94409205,Kid Gulla,4,8.26,0.4687587799849783
Bendigo,35416405,1.255840329,R5 425m Heat,5,,96748493,Okay Boss,5,8.12,0.6832580210319316
Bendigo,35416405,1.255840329,R5 425m Heat,5,,72062465,Coconut Carter,6,45.64,0.24281601222183938
Bendigo,35416405,1.255840329,R5 425m Heat,5,,94060358,Surging,7,19.96,0.7657593792000459
Bendigo,35416405,1.255840329,R5 425m Heat,5,,96748494,Biscottino,8,3.44,0.8001189300750339
Bendigo,35416405,1.255840334,R6 425m Heat,6,,96748495,So So Good,1,6.56,0.6839488636346389
Bendigo,35416405,1.255840334,R6 425m Heat,6,,95923165,Universe,2,18.02,0.4481813709543567
Bendigo,35416405,1.255840334,R6 425m Heat,6,,96748496,Naradhan,3,4.06,0.6841740011482629
Bendigo,35416405,1.255840334,R6 425m Heat,6,,94181359,Lightheartedness,4,47.79,0.4047110627629832
Bendigo,35416405,1.255840334,R6 425m Heat,6,,95228234,Border Beast,6,8.63,0.7295642512351397
Bendigo,35416405,1.255840334,R6 425m Heat,6,,96748497,Lochinvar Thor,7,9.12,0.6607123961572369
Bendigo,35416405,1.255840334,R6 425m Heat,6,,3558788,Full Noise,8,3.34,0.6980855244397055
Bendigo,35416405,1.255840339,R7 425m Heat,7,,5644240,Black Marvel,1,3.08,0.7115215846868792
Bendigo,35416405,1.255840339,R7 425m Heat,7,,82896438,Go Pikachu,2,33.9,0.46555592667681955
Bendigo,35416405,1.255840339,R7 425m Heat,7,,92241980,Greysynd Clyde,3,4.94,0.8772669538589811
Bendigo,35416405,1.255840339,R7 425m Heat,7,,95923162,Sheikh Of Tweak,4,6.5,0.7020584499416561
Bendigo,35416405,1.255840339,R7 425m Heat,7,,96748498,Mr Devere,5,6.76,0.5246110224627107
Bendigo,35416405,1.255840339,R7 425m Heat,7,,86188523,Caco Missile,6,12.7,0.5202267840180296
Bendigo,35416405,1.255840339,R7 425m Heat,7,,81018163,Absolute Rupee,7,25.12,0.5720245498382057
Bendigo,35416405,1.255840339,R7 425m Heat,7,,87250725,Sir Trenton,8,44.54,0.6083874132735161
Bendigo,35416405,1.255878255,R8 500m Final,8,,89348868,Aston Summit,1,2.77,0.74875732050345
Bendigo,35416405,1.255878255,R8 500m Final,8,,82047117,Salt Speckle,3,18.01,0.6191107266367405
Bendigo,35416405,1.255878255,R8 500m Final,8,,85713779,Shes Primed,4,26.26,0.9095812248501778
Bendigo,35416405,1.255878255,R8 500m Final,8,,80131695,Winning Ratio,5,26.29,0.7623677249438388
Bendigo,35416405,1.255878255,R8 500m Final,8,,89392297,Its Mikado Time,6,2.71,0.7970136696704827
Bendigo,35416405,1.255878255,R8 500m Final,8,,87207957,Rattler,7,16.21,0.5681284065583032
Bendigo,35416405,1.255878255,R8 500m Final,8,,96748499,Gold Class Cool,10,12.96,0.5346595953520007
Bendigo,35416405,1.255840349,R9 500m Gr4/5,9,,80170997,Handsome Ratio,1,10.76,0.48788477155438614
Bendigo,35416405,1.255840349,R9 500m Gr4/5,9,,83193016,Serrated Edge,2,15.57,0.5352234569189817
Bendigo,35416405,1.255840349,R9 500m Gr4/5,9,,92391250,Barooga Jim,3,1.92,0.7058334038647339
Bendigo,35416405,1.255840349,R9 500m Gr4/5,9,,56576790,White Shiraz,4,266.75,0.1277959063512374
Bendigo,35416405,1.255840349,R9 500m Gr4/5,9,,79067960,Rhythmic Energy,5,5.98,0.5086998658472461
Bendigo,35416405,1.255840349,R9 500m Gr4/5,9,,68959968,In A Bit,6,16.7,0.7116262019710569
Bendigo,35416405,1.255840349,R9 500m Gr4/5,9,,90458298,Duran Olly,7,20.41,0.5212100140944447
Bendigo,35416405,1.255840349,R9 500m Gr4/5,9,,79226542,Montana Icon,8,23.14,0.34590177429743074
Broken Hill,35416369,1.255839529,R1 375m Mdn,1,,91115882,Mums Favourite,1,3.86,Unknown
Broken Hill,35416369,1.255839529,R1 375m Mdn,1,,81222129,All The Spoils,2,5.85,Unknown
Broken Hill,35416369,1.255839529,R1 375m Mdn,1,,4751614,Limoncello,3,16.98,Unknown
Broken Hill,35416369,1.255839529,R1 375m Mdn,1,,94375822,Sponsorship,4,4.86,0.5761990419150945
Broken Hill,35416369,1.255839529,R1 375m Mdn,1,,85778796,Visibility,6,9.45,Unknown
Broken Hill,35416369,1.255839529,R1 375m Mdn,1,,96495488,Skedaddle Timmy,7,10.27,0.5527927442218248
Broken Hill,35416369,1.255839529,R1 375m Mdn,1,,96747848,Flying Sooty,8,9.78,Unknown
Broken Hill,35416369,1.255839534,R2 375m Gr4/5,2,,11225991,Harper,1,8.88,Unknown
Broken Hill,35416369,1.255839534,R2 375m Gr4/5,2,,86621709,Del Mar Deb,2,3.7,Unknown
