meetings.name,meetings.bfExchangeEventId,meetings.races.bfExchangeMarketId,meetings.races.name,meetings.races.number,meetings.races.comment,meetings.races.runners.bfExchangeSelectionId,meetings.races.runners.name,meetings.races.runners.number,meetings.races.runners.ratedPrice,meetings.races.runners.early_speed
Dubbo,35313265,1.254554946,R1 400m Mdn,1,,95540866,Total Texas,1,5.31,0.5100612230499822
Dubbo,35313265,1.254554946,R1 400m Mdn,1,,95540867,Yindiamarra,2,8.12,Unknown
Dubbo,35313265,1.254554946,R1 400m Mdn,1,,95540868,Ringside Zero,3,8.2,Unknown
Dubbo,35313265,1.254554946,R1 400m Mdn,1,,95540870,Hey Arnold,5,8.32,Unknown
Dubbo,35313265,1.254554946,R1 400m Mdn,1,,95540871,Jumbo Keeping,6,8.45,Unknown
Dubbo,35313265,1.254554946,R1 400m Mdn,1,,95540872,Classic Lass,7,6.9,Unknown
Dubbo,35313265,1.254554946,R1 400m Mdn,1,,95540873,Zinc Chromate,8,8.02,Unknown
Dubbo,35313265,1.254554946,R1 400m Mdn,1,,95540874,Munun Bubul,9,17.06,0.21753137071727024
Dubbo,35313265,1.254554991,R10 318m Gr5,10,,74706602,Swift Eli,1,11.3,0.30203137428211724
Dubbo,35313265,1.254554991,R10 318m Gr5,10,,72609892,Fusion Rose,2,12.72,0.5039985335498458
Dubbo,35313265,1.254554991,R10 318m Gr5,10,,70965943,Kiando Diva,3,6.13,0.6758892324468192
Dubbo,35313265,1.254554991,R10 318m Gr5,10,,78944804,Amazing Gem,4,3.05,0.6407782477032409
Dubbo,35313265,1.254554991,R10 318m Gr5,10,,69712572,Bell Mac Magic,5,7.66,0.6690649235679689
Dubbo,35313265,1.254554991,R10 318m Gr5,10,,91116603,Babette Fusion,6,7.82,0.7616906583533425
Dubbo,35313265,1.254554991,R10 318m Gr5,10,,90485614,Hybrid Blue,8,17.15,0.4288930432648683
Dubbo,35313265,1.254554991,R10 318m Gr5,10,,87416977,Hard Style Chick,9,39.12,0.736042159146406
Dubbo,35313265,1.254554996,R11 318m Gr5,11,,92087788,Tap Out Gracie,1,14.25,0.7293995121703277
Dubbo,35313265,1.254554996,R11 318m Gr5,11,,91159068,Armoured Glass,2,2.32,0.8073697147338517
Dubbo,35313265,1.254554996,R11 318m Gr5,11,,82414135,Tommy Taro,3,105.34,0.6738635380126967
Dubbo,35313265,1.254554996,R11 318m Gr5,11,,72879853,Spring Molly,4,94.32,0.5067162521047912
