meetings.name,meetings.bfExchangeEventId,meetings.races.bfExchangeMarketId,meetings.races.name,meetings.races.number,meetings.races.comment,meetings.races.runners.bfExchangeSelectionId,meetings.races.runners.name,meetings.races.runners.number,meetings.races.runners.ratedPrice,meetings.races.runners.early_speed
Bendigo,35360612,1.255145217,R1 425m Gr6/7,1,,94136951,Mr Devere,1,2.23,0.5241037818478022
Bendigo,35360612,1.255145217,R1 425m Gr6/7,1,,94227070,Ivory Panke,2,12.0,0.728081299448285
Bendigo,35360612,1.255145217,R1 425m Gr6/7,1,,96182434,Devington,3,7.81,0.6025936917919799
Bendigo,35360612,1.255145217,R1 425m Gr6/7,1,,69142462,Whisky Bella,4,10.22,0.7232208016352275
Bendigo,35360612,1.255145217,R1 425m Gr6/7,1,,96182435,Sekola Blue,5,15.82,0.680179652853053
Bendigo,35360612,1.255145217,R1 425m Gr6/7,1,,89062714,Paw Quintessa,6,44.43,0.4629325600119404
Bendigo,35360612,1.255145217,R1 425m Gr6/7,1,,92505780,Sweet Millie,7,6.42,0.9475393226246093
Bendigo,35360612,1.255145262,R10 425m Gr5,10,,79490365,Montana Icon,1,7.77,0.3816271721855816
Bendigo,35360612,1.255145262,R10 425m Gr5,10,,92087877,Paw Brody,2,4.95,0.4230647016170996
Bendigo,35360612,1.255145262,R10 425m Gr5,10,,91532402,Paw Jasta,3,3.67,0.8060650512170917
Bendigo,35360612,1.255145262,R10 425m Gr5,10,,73794248,Spicy Assassin,4,8.12,0.5068235252118003
Bendigo,35360612,1.255145262,R10 425m Gr5,10,,87768839,She Likes Beer,5,5.27,0.4551696929171524
Bendigo,35360612,1.255145262,R10 425m Gr5,10,,75046701,Gumtree Hill,8,32.94,0.6335237940162041
Bendigo,35360612,1.255145262,R10 425m Gr5,10,,78689512,Him Tarzan,9,27.73,0.4279137339480336
Bendigo,35360612,1.255145262,R10 425m Gr5,10,,96182440,Paw Pharah,10,56.38,0.1622613951139439
Bendigo,35360612,1.255145267,R11 425m Gr5,11,,81775463,Dave,1,2.66,0.31054070627543595
Bendigo,35360612,1.255145267,R11 425m Gr5,11,,92087875,Insinuating,2,3.02,0.6214694787740274
Bendigo,35360612,1.255145267,R11 425m Gr5,11,,5547787,Graffiti,3,12.32,0.4623622674109431
Bendigo,35360612,1.255145267,R11 425m Gr5,11,,80604730,Paw Jenneke,4,9.43,0.7013859286023136
Bendigo,35360612,1.255145267,R11 425m Gr5,11,,65230322,Hollywood Franky,5,35.54,0.5091120618064984
Bendigo,35360612,1.255145267,R11 425m Gr5,11,,81224508,Paw Ucarty,6,42.84,0.7089993018690741
Bendigo,35360612,1.255145267,R11 425m Gr5,11,,76612944,Goosebumps Rico,8,18.57,0.5560607751801143
Bendigo,35360612,1.255145272,R12 425m Gr5,12,,83379484,Frankys Outlaw,2,18.13,0.36695380458583043
Bendigo,35360612,1.255145272,R12 425m Gr5,12,,92966137,Berserker Viking,3,8.57,0.47980367666548096
Bendigo,35360612,1.255145272,R12 425m Gr5,12,,92390406,Surging,4,9.04,0.6737423616053884
Bendigo,35360612,1.255145272,R12 425m Gr5,12,,77964662,No Bad Deed,5,14.57,0.7916899127078179
Bendigo,35360612,1.255145272,R12 425m Gr5,12,,96182447,Mystifying Lomar,7,1.73,0.5666962397237428
Bendigo,35360612,1.255145272,R12 425m Gr5,12,,85445781,Ascend Hibiscus,8,13.99,0.5027082711307256
Bendigo,35360612,1.255145222,R2 425m Gr6/7,2,,89592118,Urana Taurus,1,6.34,0.4574613551266258
Bendigo,35360612,1.255145222,R2 425m Gr6/7,2,,96182436,Jilliby Pixie,2,10.88,0.28264822706680803
Bendigo,35360612,1.255145222,R2 425m Gr6/7,2,,89062706,Paw Irulan,3,4.88,0.3482900423644875
Bendigo,35360612,1.255145222,R2 425m Gr6/7,2,,88028087,Two Truths,4,5.73,0.8593764187374884
Bendigo,35360612,1.255145222,R2 425m Gr6/7,2,,96182437,Cheeky Streak,6,7.21,0.5406405308939061
