meetings.name,meetings.bfExchangeEventId,meetings.races.bfExchangeMarketId,meetings.races.name,meetings.races.number,meetings.races.comment,meetings.races.runners.bfExchangeSelectionId,meetings.races.runners.name,meetings.races.runners.number,meetings.races.runners.ratedPrice,meetings.races.runners.early_speed
Angle Park,35359733,1.255132171,R1 342m FFA,1,,86388750,Carry On Olive,1,3.99,0.658749575724212
Angle Park,35359733,1.255132171,R1 342m FFA,1,,79228033,You Aint It,2,4.42,0.5878294890697212
Angle Park,35359733,1.255132171,R1 342m FFA,1,,64343697,Son Of Maple,4,9.66,0.5753231930970306
Angle Park,35359733,1.255132171,R1 342m FFA,1,,82819066,Imagine The Fun,6,4.17,0.48323762627540284
Angle Park,35359733,1.255132171,R1 342m FFA,1,,71083440,Right Side Up,8,5.56,0.6326019481303655
Angle Park,35359733,1.255132198,R10 530m Gr6,10,,96149363,Gina Gulla,1,4.69,0.4675705656375643
Angle Park,35359733,1.255132198,R10 530m Gr6,10,,81522742,Mickey Haller,2,3.75,0.5985633918355232
Angle Park,35359733,1.255132198,R10 530m Gr6,10,,96149364,Forgery,4,4.77,0.5979482476114251
Angle Park,35359733,1.255132198,R10 530m Gr6,10,,96149365,Adhana Chucky,5,8.07,0.3961238864198461
Angle Park,35359733,1.255132198,R10 530m Gr6,10,,92676653,Grapefruit Wilma,7,41.86,0.21515993520215476
Angle Park,35359733,1.255132198,R10 530m Gr6,10,,87860816,Just A Nuisance,8,6.14,0.5441195268997356
Angle Park,35359733,1.255132201,R11 530m Inv,11,,58919111,Victory Club,1,3.79,0.6386924966742044
Angle Park,35359733,1.255132201,R11 530m Inv,11,,55060914,Black Chip,2,4.65,0.3366472862394306
Angle Park,35359733,1.255132201,R11 530m Inv,11,,62326913,Rev Leon,4,5.26,0.4151258014647391
Angle Park,35359733,1.255132201,R11 530m Inv,11,,61408934,Fear The Dragon,8,3.02,0.4245530914353173
Angle Park,35359733,1.255132204,R12 342m Gr6,12,,78755776,Zing Matilda,1,4.63,0.5414165494343555
Angle Park,35359733,1.255132204,R12 342m Gr6,12,,78996016,Binnaway Wizard,2,3.52,0.5505804247611199
Angle Park,35359733,1.255132204,R12 342m Gr6,12,,80720268,Stella Swift,4,11.21,0.5445955162463858
Angle Park,35359733,1.255132204,R12 342m Gr6,12,,71868534,Zinfandel Dash,5,3.97,0.575985276815892
Angle Park,35359733,1.255132204,R12 342m Gr6,12,,94781485,Kilcoy Gem,7,10.15,0.6073199273690685
Angle Park,35359733,1.255132204,R12 342m Gr6,12,,92745927,Ringo Rose,8,16.64,0.5066428681207619
Angle Park,35359733,1.255132174,R2 530m Mdn,2,,95838859,Huxes Uncle,1,6.21,0.5021978655201697
Angle Park,35359733,1.255132174,R2 530m Mdn,2,,96149359,Regal Stance,2,5.26,0.2896846788095244
Angle Park,35359733,1.255132174,R2 530m Mdn,2,,94921699,Vic Jake,4,6.43,0.20788048318028063
Angle Park,35359733,1.255132174,R2 530m Mdn,2,,96149360,Fatefully,6,4.0,0.48648622611389547
Angle Park,35359733,1.255132174,R2 530m Mdn,2,,96149361,Springvale Raels,8,4.11,0.40422540334194906
Angle Park,35359733,1.255132177,R3 530m Gr6,3,,83050620,Dashing Nando,1,3.82,0.6812269789056967
Angle Park,35359733,1.255132177,R3 530m Gr6,3,,92538414,Urana Uno,2,23.84,0.48061204410416336
Angle Park,35359733,1.255132177,R3 530m Gr6,3,,75674415,Big Boss Giblet,4,8.67,0.3315429274015749
Angle Park,35359733,1.255132177,R3 530m Gr6,3,,83905711,Attention Seeker,5,2.93,0.5990085958645892
Angle Park,35359733,1.255132177,R3 530m Gr6,3,,87544657,Weblec Stella,7,6.79,0.6660106356478123
Angle Park,35359733,1.255132177,R3 530m Gr6,3,,74040347,Witcher Rose,8,10.88,0.6098102954596872
Angle Park,35359733,1.255132180,R4 595m Gr6,4,,85745574,Just a Babe,1,4.05,Unknown
Angle Park,35359733,1.255132180,R4 595m Gr6,4,,84375446,Novas Fern,2,10.07,0.5217273094536757
Angle Park,35359733,1.255132180,R4 595m Gr6,4,,73953653,Kia Keeping,4,2.78,0.5014547984608326
Angle Park,35359733,1.255132180,R4 595m Gr6,4,,74854546,Glasthule,5,9.71,0.36331756850136676
Angle Park,35359733,1.255132180,R4 595m Gr6,4,,83711520,Secrets We Keep,7,6.42,0.3738477585658546
Angle Park,35359733,1.255132180,R4 595m Gr6,4,,80180375,Corryong,8,28.12,0.42430287292172864
Angle Park,35359733,1.255132183,R5 595m Gr4/5,5,,83870133,Echoes Of Dad,1,2.56,0.5514668106022473
Angle Park,35359733,1.255132183,R5 595m Gr4/5,5,,81747762,Smooth Dynamite,2,14.07,0.5460741145551271
Angle Park,35359733,1.255132183,R5 595m Gr4/5,5,,76755585,Time To Fire,4,5.38,0.46127458712558755
Angle Park,35359733,1.255132183,R5 595m Gr4/5,5,,84983435,Bacardi Girl,5,11.06,0.3505954098064966
Angle Park,35359733,1.255132183,R5 595m Gr4/5,5,,85213524,Ginnys Run,7,4.78,0.5912718966011112
Angle Park,35359733,1.255132183,R5 595m Gr4/5,5,,79846195,Our Beaver,8,19.01,0.39675870651666223
Angle Park,35359733,1.255132186,R6 530m Gr5,6,,80895494,Brother Ernest,1,3.23,0.49582553117046557
Angle Park,35359733,1.255132186,R6 530m Gr5,6,,69033897,Dakota Rylen,2,2.8,0.6055039356147004
Angle Park,35359733,1.255132186,R6 530m Gr5,6,,77024492,Paw Eva,3,10.46,0.5216104542883113
Angle Park,35359733,1.255132186,R6 530m Gr5,6,,66654189,Zipping Grande,4,16.38,0.29763034765503127
Angle Park,35359733,1.255132186,R6 530m Gr5,6,,69643143,Paw Louis,5,15.98,0.4712615211525102
Angle Park,35359733,1.255132186,R6 530m Gr5,6,,80895498,Cawbourne Adele,7,8.77,0.5370138957119477
Angle Park,35359733,1.255132189,R7 730m FFA,7,,85181255,Urana Space,1,5.63,0.3834766859871157
Angle Park,35359733,1.255132189,R7 730m FFA,7,,78001279,Zenvo Yoyo,2,61.94,0.288468027141891
Angle Park,35359733,1.255132189,R7 730m FFA,7,,64876423,Nitro Neo,4,7.68,0.3381833987708162
Angle Park,35359733,1.255132189,R7 730m FFA,7,,77303474,Oregon Janet,5,10.87,0.2797213469247319
Angle Park,35359733,1.255132189,R7 730m FFA,7,,70170797,Zinfandel Trace,7,3.71,0.5201689337627627
Angle Park,35359733,1.255132189,R7 730m FFA,7,,70003367,Apilla,8,3.18,0.34683746782383845
Angle Park,35359733,1.255132192,R8 530m Final,8,,89922237,Gunning Bandit,1,4.12,0.47560868272056783
Angle Park,35359733,1.255132192,R8 530m Final,8,,80093480,Galactic Nemesis,2,3.82,0.8166380040291884
Angle Park,35359733,1.255132192,R8 530m Final,8,,71868539,Crocodile Roll,3,12.65,0.5572226201111359
Angle Park,35359733,1.255132192,R8 530m Final,8,,83345907,Destroying,4,5.23,0.549177056006364
Angle Park,35359733,1.255132192,R8 530m Final,8,,86101491,Proclivity,5,29.63,0.34809742969530877
Angle Park,35359733,1.255132192,R8 530m Final,8,,94921707,City Of Love,6,21.02,0.8115683121664345
Angle Park,35359733,1.255132192,R8 530m Final,8,,88623790,Black Noir,9,11.71,0.5905062088567503
Angle Park,35359733,1.255132192,R8 530m Final,8,,96149362,Princess Tilley,10,17.12,0.5986673924355198
Angle Park,35359733,1.255132195,R9 530m FFA,9,,79067632,Manifesto,1,9.81,0.47841576542660846
Angle Park,35359733,1.255132195,R9 530m FFA,9,,76580496,Mallee Beauty,3,2.08,0.710178554178536
Angle Park,35359733,1.255132195,R9 530m FFA,9,,75019113,Nangar Lady,5,4.77,0.6257082915040444
Angle Park,35359733,1.255132195,R9 530m FFA,9,,80874262,Dashing Jordy,7,4.82,0.7081527944271363
Casino,35360553,1.255143636,R1 300m Mdn,1,,96116944,Risky Margins,1,49.35,0.3103171294890811
Casino,35360553,1.255143636,R1 300m Mdn,1,,91159859,Cool Mist,2,8.54,0.6199976367429487
Casino,35360553,1.255143636,R1 300m Mdn,1,,95811147,Robell Thea,3,8.77,0.4369377977681983
Casino,35360553,1.255143636,R1 300m Mdn,1,,96116945,Federal Deuce,4,8.61,Unknown
Casino,35360553,1.255143636,R1 300m Mdn,1,,96116946,Tough Call,5,2.88,0.8067660730559167
Casino,35360553,1.255143636,R1 300m Mdn,1,,83080782,Sienna Lilly,6,17.05,0.6181023426900465
Casino,35360553,1.255143636,R1 300m Mdn,1,,96116947,Summer Bay,7,9.69,0.6102697679094866
Casino,35360553,1.255143636,R1 300m Mdn,1,,96116948,Pear Shaped,8,8.06,Unknown
Casino,35360553,1.255143663,R10 484m Gr4/5,10,,73992712,Federal Blonde,1,27.89,0.2722121033352657
Casino,35360553,1.255143663,R10 484m Gr4/5,10,,75674700,Jimary Promise,2,3.77,0.5656249251496286
Casino,35360553,1.255143663,R10 484m Gr4/5,10,,65260900,Liam Bluey,3,17.58,0.43880816286616975
Casino,35360553,1.255143663,R10 484m Gr4/5,10,,92390674,Bull Mundy,4,4.3,0.5891298633316873
Casino,35360553,1.255143663,R10 484m Gr4/5,10,,85472736,Stiff Luck,6,10.17,0.5361239750142888
Casino,35360553,1.255143663,R10 484m Gr4/5,10,,72478781,Got No Goggles,7,8.83,0.7906859124791457
Casino,35360553,1.255143663,R10 484m Gr4/5,10,,93758028,Drill Baby,8,5.06,0.7354267705737294
Casino,35360553,1.255143666,R11 300m Gr5,11,,74189674,Round Em Up,1,49.24,Unknown
Casino,35360553,1.255143666,R11 300m Gr5,11,,91355531,Martinique,2,2.83,0.7754060516188486
Casino,35360553,1.255143666,R11 300m Gr5,11,,88694772,Sway Bar,3,14.21,0.24430419824714147
Casino,35360553,1.255143666,R11 300m Gr5,11,,71109845,Cheeky Toni,4,16.35,0.7497203595146602
Casino,35360553,1.255143666,R11 300m Gr5,11,,73994225,Loco Pirata,5,17.94,0.8258433420950607
Casino,35360553,1.255143666,R11 300m Gr5,11,,52621385,Go Big Girl,6,42.43,0.605348263739877
Casino,35360553,1.255143666,R11 300m Gr5,11,,94375605,Reel Em Mini,7,5.45,Unknown
Casino,35360553,1.255143666,R11 300m Gr5,11,,83314939,Lady Blazington,8,4.31,0.7234202266115601
Casino,35360553,1.255143669,R12 300m Gr5,12,,96116964,Orson Rocket,1,3.92,0.7778290109425456
Casino,35360553,1.255143669,R12 300m Gr5,12,,95621812,Torque And Dash,2,6.45,0.6707982637400183
Casino,35360553,1.255143669,R12 300m Gr5,12,,95301253,Ultra Special,3,11.85,0.6325678267174837
Casino,35360553,1.255143669,R12 300m Gr5,12,,96116965,Jimary Freedom,4,23.12,0.33582376116129753
Casino,35360553,1.255143669,R12 300m Gr5,12,,87677383,Charlie Dutton,5,3.86,0.43029985569996754
Casino,35360553,1.255143669,R12 300m Gr5,12,,95385796,Debbie Dutton,6,14.42,0.07818475512759937
Casino,35360553,1.255143669,R12 300m Gr5,12,,83711456,Wolfgang,7,12.56,0.49521624150862187
Casino,35360553,1.255143669,R12 300m Gr5,12,,87769346,Aloha Norma,8,18.5,0.6718687796986077
Casino,35360553,1.255143639,R2 411m Mdn,2,,96116950,May Dutton,1,4.67,0.18288056631441352
Casino,35360553,1.255143639,R2 411m Mdn,2,,82858221,Magical Dee,2,3.25,0.35616252889009614
Casino,35360553,1.255143639,R2 411m Mdn,2,,95070094,Burnside Gary,4,4.47,0.26040746870658793
Casino,35360553,1.255143639,R2 411m Mdn,2,,74229070,Remember Pal,5,35.79,0.5359229378545907
Casino,35360553,1.255143639,R2 411m Mdn,2,,96116951,Orson Jody,7,9.01,0.20465500668010222
Casino,35360553,1.255143639,R2 411m Mdn,2,,96116952,Mother Hen,8,8.68,0.12591963033454578
Casino,35360553,1.255143642,R3 300m Gr1/2/3,3,,59006936,Julane Ava,1,5.26,0.45742558443149683
Casino,35360553,1.255143642,R3 300m Gr1/2/3,3,,55060934,Kooringa Rafael,3,1.85,0.4055055268432649
Casino,35360553,1.255143642,R3 300m Gr1/2/3,3,,59586457,Slimy Trout,4,16.12,0.4142635798232972
Casino,35360553,1.255143642,R3 300m Gr1/2/3,3,,43081289,Carramar Drive,5,10.45,0.5786447264664188
Casino,35360553,1.255143642,R3 300m Gr1/2/3,3,,60780103,Velocity Yin,8,10.38,0.6256739576812961
Casino,35360553,1.255143642,R3 300m Gr1/2/3,3,,67290691,Champagne Talks,9,60.75,0.4934304505663603
Casino,35360553,1.255143645,R4 411m Gr5,4,,79804756,You Know Diva,1,22.41,0.5122948129193805
Casino,35360553,1.255143645,R4 411m Gr5,4,,78047923,Watch The Diva,2,5.2,0.6839900256720526
Casino,35360553,1.255143645,R4 411m Gr5,4,,94922670,Remi Nath,3,6.14,0.5210371493764006
Casino,35360553,1.255143645,R4 411m Gr5,4,,93168972,Steely Dawn,4,10.27,0.5158568845954754
Casino,35360553,1.255143645,R4 411m Gr5,4,,96116953,Burnside Bambi,5,4.75,0.4864558015855077
Casino,35360553,1.255143645,R4 411m Gr5,4,,85181967,Tiny But Mighty,6,18.99,0.35802864802664025
Casino,35360553,1.255143645,R4 411m Gr5,4,,95228720,Jam Fury,7,6.67,0.6364624448083697
Casino,35360553,1.255143645,R4 411m Gr5,4,,96116954,Rina Dutton,8,11.16,0.27710172897045576
Casino,35360553,1.255143648,R5 411m Gr5,5,,79598172,Round The Ridges,1,15.56,0.5625081190856387
Casino,35360553,1.255143648,R5 411m Gr5,5,,84662020,Ripple Linger,2,5.74,0.6407569935696424
Casino,35360553,1.255143648,R5 411m Gr5,5,,68124137,On Your Broom,3,37.2,0.5345487483299158
Casino,35360553,1.255143648,R5 411m Gr5,5,,88029638,Sweet Confetti,4,5.41,0.7664800964477034
Casino,35360553,1.255143648,R5 411m Gr5,5,,80858195,Wilgunya Flash,5,8.02,0.5594849611946778
Casino,35360553,1.255143648,R5 411m Gr5,5,,74538871,Hamiso,6,12.92,0.5775506883884327
Casino,35360553,1.255143648,R5 411m Gr5,5,,68383664,Kingsbrae Julie,7,6.61,0.651676582532055
Casino,35360553,1.255143648,R5 411m Gr5,5,,86821364,Our Girl Franky,8,5.09,0.7588300922936079
Casino,35360553,1.255143651,R6 300m Final,6,,96116957,Risky Special,1,2.77,0.5989320567023776
Casino,35360553,1.255143651,R6 300m Final,6,,96116958,Little Girl Gone,2,11.89,0.8173904090459134
Casino,35360553,1.255143651,R6 300m Final,6,,95515218,Grandpa Joe,3,10.98,0.3687207102318179
Casino,35360553,1.255143651,R6 300m Final,6,,96116959,Jimary Storm,4,15.26,0.8816691114042965
Casino,35360553,1.255143651,R6 300m Final,6,,95070095,Lollipop Valley,5,11.4,0.6862714802196306
Casino,35360553,1.255143651,R6 300m Final,6,,95811158,Needle And Seat,6,9.21,0.4023345655286462
Casino,35360553,1.255143651,R6 300m Final,6,,95385802,Pass The Peppa,7,10.43,0.3807434688318205
Casino,35360553,1.255143651,R6 300m Final,6,,83711457,Barley Charlie,8,9.42,0.7310448698253476
Casino,35360553,1.255143654,R7 484m Rest,7,,87094923,Diablo Mac,1,30.41,0.5263919142074973
Casino,35360553,1.255143654,R7 484m Rest,7,,96116962,Hooked On Dolly,2,3.66,0.5399882442113664
Casino,35360553,1.255143654,R7 484m Rest,7,,87859341,Aston Barbie,4,8.08,0.8394940324727405
Casino,35360553,1.255143654,R7 484m Rest,7,,87544463,Miss Pollywood,5,7.69,0.5784683499774846
Casino,35360553,1.255143654,R7 484m Rest,7,,95385804,Lee Fitz,6,3.93,0.6780190306817819
Casino,35360553,1.255143654,R7 484m Rest,7,,95302020,Country Form,7,7.49,0.5892337005836472
Casino,35360553,1.255143654,R7 484m Rest,7,,78213061,Lornett Swift,8,51.71,0.35259959808607644
Casino,35360553,1.255143654,R7 484m Rest,7,,82604830,Ayrton Herrera,9,30.37,0.3128850125508774
Casino,35360553,1.255143657,R8 411m Gr3/4,8,,68064358,Hannah Goanna,1,6.89,0.6339877518758665
Casino,35360553,1.255143657,R8 411m Gr3/4,8,,84267080,Swift Grant,2,4.03,0.8655634815386654
Casino,35360553,1.255143657,R8 411m Gr3/4,8,,91062848,Miss Pumpkin,3,5.11,0.7591791877638885
Casino,35360553,1.255143657,R8 411m Gr3/4,8,,84375325,Kooringa Millie,4,4.67,0.715432755554569
Casino,35360553,1.255143657,R8 411m Gr3/4,8,,61557868,Nitro Slim,6,18.86,0.41093570737097657
Casino,35360553,1.255143657,R8 411m Gr3/4,8,,69463374,Federal Emeran,7,6.95,0.49856358796102385
Casino,35360553,1.255143660,R9 300m N/G,9,,47906630,Third Element,1,193.73,0.37474842431538513
Casino,35360553,1.255143660,R9 300m N/G,9,,82641584,Bye Bye Robyn,2,8.73,0.840613753733006
Casino,35360553,1.255143660,R9 300m N/G,9,,68752477,Lara Dutton,3,4.53,0.5722101081217581
Casino,35360553,1.255143660,R9 300m N/G,9,,71146185,Oscar Dutton,4,8.23,0.7634449656534299
Casino,35360553,1.255143660,R9 300m N/G,9,,78812907,Hi Ellen,5,16.08,0.6003991101870345
Casino,35360553,1.255143660,R9 300m N/G,9,,69830080,Snake And Ladder,6,8.45,0.5631334894581164
