meetings.name,meetings.bfExchangeEventId,meetings.races.bfExchangeMarketId,meetings.races.name,meetings.races.number,meetings.races.comment,meetings.races.runners.bfExchangeSelectionId,meetings.races.runners.name,meetings.races.runners.number,meetings.races.runners.ratedPrice,meetings.races.runners.early_speed
Capalaba,35316911,1.254588505,R10 366m Gr5,10,,78567385,Golden Envy,1,10.36,0.4853592452534768
Capalaba,35316911,1.254588505,R10 366m Gr5,10,,80330913,Bonnie Royale,2,30.17,0.6883004812981333
Capalaba,35316911,1.254588505,R10 366m Gr5,10,,83642931,Another Idea,3,2.38,0.7741909315110826
Capalaba,35316911,1.254588505,R10 366m Gr5,10,,66154018,Nana Marie,4,111.24,0.45709505170711007
Capalaba,35316911,1.254588505,R10 366m Gr5,10,,95621959,Lakoda Talk,5,19.8,0.5604463304142742
Capalaba,35316911,1.254588505,R10 366m Gr5,10,,86587058,Hollywood Diva,6,8.68,0.448945954261727
Capalaba,35316911,1.254588505,R10 366m Gr5,10,,75391905,Rumble Twister,7,36.73,0.32465366451700317
Capalaba,35316911,1.254588505,R10 366m Gr5,10,,86431139,Lets Just Dance,8,4.03,0.7292465992803809
Capalaba,35316911,1.254588493,R6 366m Gr5,6,,92117877,Equity,1,4.65,0.6390490959427837
Capalaba,35316911,1.254588493,R6 366m Gr5,6,,95621957,Professor Saxon,2,7.74,0.2902212316784442
Capalaba,35316911,1.254588493,R6 366m Gr5,6,,84223551,Dayseas Ziggy,3,14.63,0.5921636655613361
Capalaba,35316911,1.254588493,R6 366m Gr5,6,,88377076,Kachina Ripple,4,2.74,0.33714790031697145
Capalaba,35316911,1.254588493,R6 366m Gr5,6,,95344953,Zipping Gressier,5,30.03,0.43467333093319593
Capalaba,35316911,1.254588493,R6 366m Gr5,6,,89061595,Haras Usain,6,73.97,0.5445039401463927
Capalaba,35316911,1.254588493,R6 366m Gr5,6,,95621958,Blizzard,7,10.95,0.5854175969458446
Capalaba,35316911,1.254588493,R6 366m Gr5,6,,75120097,Flying Ernesto,8,11.93,0.571106270527014
Capalaba,35316911,1.254588496,R7 366m Gr4/5,7,,84983426,Reconstruction,1,2.96,0.22417396310212562
Capalaba,35316911,1.254588496,R7 366m Gr4/5,7,,2261533,Brookers Road,2,7.89,0.22840968222904828
Capalaba,35316911,1.254588496,R7 366m Gr4/5,7,,87716048,Cliff Clavin,3,21.47,0.598531916607424
Capalaba,35316911,1.254588496,R7 366m Gr4/5,7,,62559221,Brute Banner,4,5.17,0.6534516412482351
Capalaba,35316911,1.254588496,R7 366m Gr4/5,7,,76008454,Cupola,5,118.41,0.42245817560554755
Capalaba,35316911,1.254588496,R7 366m Gr4/5,7,,76338813,Weather Report,6,7.07,0.2500797657190869
Capalaba,35316911,1.254588496,R7 366m Gr4/5,7,,82820124,Chevy Storm,7,34.04,0.5791789324522876
Capalaba,35316911,1.254588496,R7 366m Gr4/5,7,,67661855,Dayseas Elvis,8,8.62,0.6054897223141384
Capalaba,35316911,1.254588499,R8 366m FFA,8,,72354379,Looking Fancy,1,33.57,0.5031006253344409
Capalaba,35316911,1.254588499,R8 366m FFA,8,,67821623,Dayseas Shelly,2,9.46,0.46384535294581897
Capalaba,35316911,1.254588499,R8 366m FFA,8,,84697049,Secret Story,3,1.86,0.4775580494091078
Capalaba,35316911,1.254588499,R8 366m FFA,8,,65788082,Dayseas Kurt,4,13.7,0.5656573717873685
Capalaba,35316911,1.254588499,R8 366m FFA,8,,82539096,Ideas Girl,6,5.17,0.5834534750725815
Capalaba,35316911,1.254588499,R8 366m FFA,8,,88420928,Aussie Zip,7,21.99,0.32981709045457563
Capalaba,35316911,1.254588499,R8 366m FFA,8,,54055600,Farmor Relief,8,65.7,0.6344969768857719
Capalaba,35316911,1.254588502,R9 366m Gr5,9,,85507914,Cheap Perfume,1,11.71,0.4832088531758297
Capalaba,35316911,1.254588502,R9 366m Gr5,9,,74538860,Come On Jo,2,35.09,0.4360257783227923
Capalaba,35316911,1.254588502,R9 366m Gr5,9,,3327202,Risk It,3,33.13,0.4019610653907554
Capalaba,35316911,1.254588502,R9 366m Gr5,9,,89922340,Gypsys Girl,4,4.61,0.5227492061706208
Capalaba,35316911,1.254588502,R9 366m Gr5,9,,92208336,Giverny,5,7.94,0.31399469906383276
Capalaba,35316911,1.254588502,R9 366m Gr5,9,,92966501,Ripple Linger,6,19.08,0.5831566504785419
Capalaba,35316911,1.254588502,R9 366m Gr5,9,,83870116,Sweet As Juice,7,2.33,0.6205373064792987
Capalaba,35316911,1.254588502,R9 366m Gr5,9,,58100424,Skip The Cue,8,32.33,0.5052349788298451
Grafton,35316955,1.254588679,R1 350m Mdn,1,,95580370,Queen Speed,1,8.06,0.3825660872311075
Grafton,35316955,1.254588679,R1 350m Mdn,1,,86143201,Tiny Tsunami,2,9.33,0.6617494949378039
Grafton,35316955,1.254588679,R1 350m Mdn,1,,95580371,Sausage Gambler,3,5.13,0.41648622958302073
Grafton,35316955,1.254588679,R1 350m Mdn,1,,94227397,Robell Donny,4,18.13,0.1518444490684803
Grafton,35316955,1.254588679,R1 350m Mdn,1,,92242068,Free Kick,6,87.72,0.1095802027530121
Grafton,35316955,1.254588679,R1 350m Mdn,1,,93537519,Burnside Levi,7,2.85,0.7433762354278288
Grafton,35316955,1.254588679,R1 350m Mdn,1,,94985489,Ninita,8,6.38,0.6338355683992576
Grafton,35316955,1.254588728,R10 350m FFA,10,,62475989,Robell Clyde,1,3.15,0.5907789361535658
Grafton,35316955,1.254588728,R10 350m FFA,10,,78212807,Reel Em Mini,2,10.15,Unknown
Grafton,35316955,1.254588728,R10 350m FFA,10,,55060934,Kooringa Rafael,3,15.36,0.44456588423365667
Grafton,35316955,1.254588728,R10 350m FFA,10,,72097098,Two Fisted,4,26.02,0.5550813031341382
Grafton,35316955,1.254588728,R10 350m FFA,10,,90799708,Wagtail Whisper,6,4.72,0.7668899527910239
