meetings.name,meetings.bfExchangeEventId,meetings.races.bfExchangeMarketId,meetings.races.name,meetings.races.number,meetings.races.comment,meetings.races.runners.bfExchangeSelectionId,meetings.races.runners.name,meetings.races.runners.number,meetings.races.runners.ratedPrice,meetings.races.runners.early_speed
Bendigo,35325115,1.254693119,R1 425m Mdn,1,,89437814,Blame Wally,2,3.83,0.4772300705999736
Bendigo,35325115,1.254693119,R1 425m Mdn,1,,89348028,Okay Alf,4,3.95,0.4397952657474762
Bendigo,35325115,1.254693119,R1 425m Mdn,1,,95263596,Indiana Icon,5,6.91,0.22170350824556762
Bendigo,35325115,1.254693119,R1 425m Mdn,1,,95660931,Paw Wylder,7,3.66,0.16273961321696792
Bendigo,35325115,1.254693119,R1 425m Mdn,1,,81746759,Pitman Go Fast,8,14.78,0.35054575959394074
Bendigo,35325115,1.254693146,R10 425m Gr5,10,,81307581,Paw Olive,1,8.75,0.5389603341967464
Bendigo,35325115,1.254693146,R10 425m Gr5,10,,76614032,Out The Window,2,10.13,0.3393435019662343
Bendigo,35325115,1.254693146,R10 425m Gr5,10,,58288234,Abracadabra,3,4.86,0.7438797271672037
Bendigo,35325115,1.254693146,R10 425m Gr5,10,,74494004,Beast Power,4,14.66,0.5429316157359181
Bendigo,35325115,1.254693146,R10 425m Gr5,10,,95660932,Him Tarzan,5,8.46,0.42279567510308946
Bendigo,35325115,1.254693146,R10 425m Gr5,10,,76962073,Goosebumps Rico,6,4.36,0.6177183718999366
Bendigo,35325115,1.254693146,R10 425m Gr5,10,,72990309,Mr Olaf,7,19.97,0.4970066531527394
Bendigo,35325115,1.254693146,R10 425m Gr5,10,,74300903,Lissy Loulou,8,8.63,0.5105957726705793
Bendigo,35325115,1.254693149,R11 425m Gr5,11,,81016068,Chalky,1,9.72,0.4286066564733035
Bendigo,35325115,1.254693149,R11 425m Gr5,11,,71012254,Mcivor Jewels,2,12.23,0.2659704852643322
Bendigo,35325115,1.254693149,R11 425m Gr5,11,,23210078,Market Jet,3,2.01,0.3497452460594229
Bendigo,35325115,1.254693149,R11 425m Gr5,11,,69352799,Paw Cheyenne,4,12.04,0.4605068213343801
Bendigo,35325115,1.254693149,R11 425m Gr5,11,,81436249,Ethanol Vision,5,11.86,0.4820529651315971
Bendigo,35325115,1.254693149,R11 425m Gr5,11,,67401437,Darra Rogue,6,27.89,0.3467047584746178
Bendigo,35325115,1.254693149,R11 425m Gr5,11,,74339619,Moraine Joker,7,8.72,0.3973483000229876
Bendigo,35325115,1.254693152,R12 425m Gr5,12,,84697067,Archies Gift,1,2.7,0.686774862259873
Bendigo,35325115,1.254693152,R12 425m Gr5,12,,85018785,Savannah Star,2,11.52,0.31667884916936256
Bendigo,35325115,1.254693152,R12 425m Gr5,12,,86555156,Hooked On Gin,3,13.36,0.26012996609929
Bendigo,35325115,1.254693152,R12 425m Gr5,12,,78464251,Take The Edge,4,8.15,0.33517374132307215
Bendigo,35325115,1.254693152,R12 425m Gr5,12,,54936659,Tess Cabang,5,65.04,0.33201963341842644
