meetings.name,meetings.bfExchangeEventId,meetings.races.bfExchangeMarketId,meetings.races.name,meetings.races.number,meetings.races.comment,meetings.races.runners.bfExchangeSelectionId,meetings.races.runners.name,meetings.races.runners.number,meetings.races.runners.ratedPrice,meetings.races.runners.early_speed
Angle Park,35401125,1.255654206,R1 342m Final,1,,93022437,Love Shine,1,8.75,0.46162236212342095
Angle Park,35401125,1.255654206,R1 342m Final,1,,95303302,Right to Run,2,8.07,Unknown
Angle Park,35401125,1.255654206,R1 342m Final,1,,96537150,Mccracken,4,10.09,0.44236700320920813
Angle Park,35401125,1.255654206,R1 342m Final,1,,90757440,Roll On Coaster,6,6.09,0.5832532392745753
Angle Park,35401125,1.255654206,R1 342m Final,1,,91159055,Diogo Keeping,8,2.01,0.6669543008951195
Angle Park,35401125,1.255654251,R10 595m Gr5/6,10,,74538859,Akela Martial,1,3.56,0.5299946029337126
Angle Park,35401125,1.255654251,R10 595m Gr5/6,10,,78811734,Novas Fern,4,4.85,0.49479395001039234
Angle Park,35401125,1.255654251,R10 595m Gr5/6,10,,87380001,Power Move,6,3.3,0.3590172425585414
Angle Park,35401125,1.255654251,R10 595m Gr5/6,10,,84401724,Legs Eleven,8,4.77,0.6477407208482193
Angle Park,35401125,1.255654256,R11 342m Inv,11,,62990466,Fantastic Spike,1,2.41,0.4781676829992877
Angle Park,35401125,1.255654256,R11 342m Inv,11,,62908768,Prime Voltage,2,5.36,0.5164713893784467
Angle Park,35401125,1.255654256,R11 342m Inv,11,,21435134,Brooklyn Road,4,14.71,0.5018256396647872
Angle Park,35401125,1.255654256,R11 342m Inv,11,,67078028,Jason Rose,6,5.94,0.46340643028406275
Angle Park,35401125,1.255654256,R11 342m Inv,11,,61288777,Runaway Merv,8,6.15,0.7543086769028741
Angle Park,35401125,1.255654211,R2 342m Gr6,2,,87716824,Mafia Mistress,1,5.76,0.4968304347192388
Angle Park,35401125,1.255654211,R2 342m Gr6,2,,85713632,My Little Lucy,2,7.81,0.44101165490229255
Angle Park,35401125,1.255654211,R2 342m Gr6,2,,77735211,Lifes A Joke,4,7.7,0.519614446095306
