race_id,exotic_results
morphettville-2026-02-07-r8,"{""quinella place 1"": ""11.10"", ""quinella"": ""19.40"", ""exacta"": ""27.50"", ""quinella place 2"": ""6.60"", ""quinella place 3"": ""4.30"", ""trifecta"": ""133.90""}"
morphettville-2026-02-07-r9,"{""quinella"": ""6.90"", ""exacta"": ""9.20"", ""quinella place 1"": ""2.80"", ""quinella place 2"": ""13.60"", ""quinella place 3"": ""4.60"", ""trifecta"": ""59.60""}"
morphettville-2026-02-07-r10,"{""quinella"": ""7.10"", ""exacta"": ""14.60"", ""quinella place 1"": ""2.80"", ""quinella place 2"": ""5.30"", ""quinella place 3"": ""6.40"", ""daily double"": ""15.30"", ""trifecta"": ""80.50"", ""treble"": ""40.90"", ""quaddie"": ""102.30""}"
royal-randwick-2026-02-07-r1,"{""quinella place 1"": ""7.90"", ""quinella place 2"": ""17.60"", ""quinella"": ""41.10"", ""exacta"": ""90.20"", ""quinella place 3"": ""12.60"", ""trifecta"": ""751.90""}"
royal-randwick-2026-02-07-r2,"{""quinella place 1"": ""5.00"", ""quinella"": ""157.50"", ""exacta"": ""212.20"", ""quinella place 2"": ""34.10"", ""quinella place 3"": ""13.60"", ""trifecta"": ""1090.00""}"
royal-randwick-2026-02-07-r3,"{""quinella place 1"": ""18.70"", ""quinella place 2"": ""47.50"", ""quinella"": ""65.00"", ""exacta"": ""100.30"", ""quinella place 3"": ""16.40"", ""trifecta"": ""2168.80""}"
royal-randwick-2026-02-07-r4,"{""quinella place 1"": ""3.40"", ""quinella"": ""5.00"", ""exacta"": ""6.60"", ""quinella place 2"": ""2.30"", ""quinella place 3"": ""2.20"", ""trifecta"": ""21.30""}"
royal-randwick-2026-02-07-r5,"{""quinella place 1"": ""4.30"", ""quinella"": ""146.60"", ""exacta"": ""628.30"", ""quinella place 2"": ""28.90"", ""quinella place 3"": ""6.70"", ""trifecta"": ""1240.20""}"
royal-randwick-2026-02-07-r6,"{""quinella"": ""4.70"", ""exacta"": ""7.80"", ""quinella place 1"": ""2.20"", ""quinella place 2"": ""3.80"", ""quinella place 3"": ""6.00"", ""trifecta"": ""36.50"", ""early quaddie"": ""6489.40""}"
royal-randwick-2026-02-07-r7,"{""quinella place 1"": ""24.50"", ""quinella place 2"": ""80.00"", ""quinella"": ""52.10"", ""exacta"": ""72.70"", ""quinella place 3"": ""12.70"", ""trifecta"": ""1419.40""}"
royal-randwick-2026-02-07-r8,"{""quinella"": ""3.50"", ""exacta"": ""4.10"", ""quinella place 1"": ""1.90"", ""quinella place 2"": ""3.30"", ""quinella place 3"": ""1.80"", ""trifecta"": ""11.40""}"
royal-randwick-2026-02-07-r9,"{""quinella place 1"": ""6.00"", ""quinella place 2"": ""5.70"", ""quinella"": ""9.80"", ""exacta"": ""17.80"", ""quinella place 3"": ""4.50"", ""trifecta"": ""99.80""}"
royal-randwick-2026-02-07-r10,"{""daily double"": ""10.20"", ""quinella"": ""8.70"", ""exacta"": ""17.90"", ""quinella place 1"": ""3.60"", ""quinella place 2"": ""4.20"", ""quinella place 3"": ""5.80"", ""trifecta"": ""82.60"", ""treble"": ""31.90"", ""quaddie"": ""219.10""}"
bet365-yarra-valley-2026-02-07-r1,"{""quinella place 1"": ""5.80"", ""quinella place 2"": ""4.10"", ""quinella"": ""21.30"", ""exacta"": ""55.30"", ""quinella place 3"": ""6.60"", ""trifecta"": ""149.70""}"
bet365-yarra-valley-2026-02-07-r2,"{""quinella place 1"": ""12.00"", ""quinella"": ""14.60"", ""exacta"": ""20.20"", ""quinella place 2"": ""4.40"", ""quinella place 3"": ""4.10"", ""trifecta"": ""108.30""}"
bet365-yarra-valley-2026-02-07-r3,"{""quinella"": ""22.70"", ""exacta"": ""33.50"", ""quinella place 1"": ""5.20"", ""quinella place 2"": ""2.40"", ""quinella place 3"": ""8.20"", ""trifecta"": ""110.20""}"
bet365-yarra-valley-2026-02-07-r4,"{""quinella place 1"": ""3.00"", ""quinella"": ""47.00"", ""exacta"": ""81.80"", ""quinella place 2"": ""14.70"", ""quinella place 3"": ""12.90"", ""trifecta"": ""606.80"", ""early quaddie"": ""2072.10""}"
bet365-yarra-valley-2026-02-07-r6,"{""quinella"": ""45.90"", ""exacta"": ""69.60"", ""quinella place 1"": ""20.20"", ""quinella place 2"": ""6.70"", ""quinella place 3"": ""36.00"", ""trifecta"": ""454.60""}"
bet365-yarra-valley-2026-02-07-r7,"{""daily double"": ""12.80"", ""quinella"": ""39.50"", ""exacta"": ""60.00"", ""quinella place 1"": ""19.30"", ""quinella place 2"": ""48.50"", ""quinella place 3"": ""13.20"", ""treble"": ""45.10"", ""trifecta"": ""797.60"", ""quaddie"": ""1046.70""}"
ararat-2026-02-08-r1,"{""quinella place 1"": ""3.30"", ""quinella"": ""5.40"", ""exacta"": ""10.40"", ""quinella place 2"": ""2.10"", ""quinella place 3"": ""2.70"", ""trifecta"": ""36.70""}"
ararat-2026-02-08-r2,"{""quinella"": ""24.70"", ""exacta"": ""38.30"", ""quinella place 1"": ""9.10"", ""quinella place 2"": ""32.50"", ""quinella place 3"": ""16.70"", ""trifecta"": ""468.40""}"
ararat-2026-02-08-r3,"{""quinella place 1"": ""8.20"", ""quinella"": ""8.40"", ""exacta"": ""23.10"", ""quinella place 2"": ""3.50"", ""quinella place 3"": ""10.40"", ""trifecta"": ""233.80""}"
ararat-2026-02-08-r4,"{""quaddie"": ""1075.30""}"
ararat-2026-02-08-r6,"{""quinella"": ""20.90"", ""exacta"": ""27.60"", ""quinella place 1"": ""7.00"", ""quinella place 2"": ""22.30"", ""quinella place 3"": ""4.70"", ""trifecta"": ""183.90""}"
ararat-2026-02-08-r7,"{""quinella place 1"": ""13.30"", ""daily double"": ""11.80"", ""quinella"": ""13.80"", ""exacta"": ""18.10"", ""quinella place 2"": ""6.40"", ""quinella place 3"": ""50.20"", ""treble"": ""29.90"", ""trifecta"": ""282.40"", ""quaddie"": ""410.20""}"
nowra-2026-02-08-r1,"{""quinella"": ""1.30"", ""exacta"": ""3.20"", ""trifecta"": ""4.90""}"
nowra-2026-02-08-r2,"{""quinella"": ""3.50"", ""exacta"": ""4.00"", ""trifecta"": ""7.30""}"
nowra-2026-02-08-r3,"{""quinella place 1"": ""20.80"", ""quinella"": ""63.50"", ""exacta"": ""44.90"", ""quinella place 2"": ""21.00"", ""quinella place 3"": ""7.20"", ""trifecta"": ""453.60""}"
nowra-2026-02-08-r4,"{""quinella"": ""155.70"", ""exacta"": ""310.30"", ""trifecta"": ""672.90"", ""early quaddie"": ""1732.70""}"
nowra-2026-02-08-r5,"{""quinella place 1"": ""1.60"", ""quinella place 2"": ""15.50"", ""quinella"": ""50.80"", ""exacta"": ""127.60"", ""quinella place 3"": ""18.30"", ""trifecta"": ""221.80""}"
nowra-2026-02-08-r6,"{""quinella"": ""7.40"", ""exacta"": ""13.30"", ""quinella place 1"": ""2.40"", ""quinella place 2"": ""1.90"", ""quinella place 3"": ""2.80"", ""trifecta"": ""21.60""}"
nowra-2026-02-08-r7,"{""quinella"": ""8.80"", ""exacta"": ""15.90"", ""daily double"": ""79.80"", ""trifecta"": ""64.80"", ""treble"": ""84.70"", ""quaddie"": ""6919.10""}"
port-macquarie-2026-02-08-r1,"{""quinella"": ""77.40"", ""exacta"": ""176.90"", ""quinella place 1"": ""25.40"", ""quinella place 2"": ""4.20"", ""quinella place 3"": ""2.50"", ""trifecta"": ""320.10""}"
port-macquarie-2026-02-08-r2,"{""quinella place 1"": ""3.00"", ""quinella place 2"": ""2.40"", ""quinella"": ""3.80"", ""exacta"": ""8.30"", ""quinella place 3"": ""1.80"", ""trifecta"": ""21.00""}"
port-macquarie-2026-02-08-r3,"{""quinella place 1"": ""7.70"", ""quinella"": ""9.10"", ""exacta"": ""12.90"", ""quinella place 2"": ""3.90"", ""quinella place 3"": ""7.30"", ""trifecta"": ""101.00""}"
port-macquarie-2026-02-08-r4,"{""quinella"": ""8.70"", ""exacta"": ""20.30"", ""quinella place 1"": ""4.00"", ""quinella place 2"": ""10.00"", ""quinella place 3"": ""24.80"", ""trifecta"": ""221.20"", ""early quaddie"": ""1239.80""}"
port-macquarie-2026-02-08-r5,"{""quinella place 1"": ""2.70"", ""quinella place 2"": ""2.40"", ""quinella"": ""4.40"", ""exacta"": ""7.50"", ""quinella place 3"": ""2.10"", ""trifecta"": ""14.20""}"
port-macquarie-2026-02-08-r6,"{""quinella"": ""20.00"", ""exacta"": ""28.60"", ""quinella place 1"": ""7.90"", ""quinella place 2"": ""27.20"", ""quinella place 3"": ""4.20"", ""trifecta"": ""216.00""}"
port-macquarie-2026-02-08-r7,"{""quinella"": ""36.70"", ""exacta"": ""132.40"", ""quinella place 1"": ""8.60"", ""quinella place 2"": ""4.80"", ""daily double"": ""85.00"", ""quinella place 3"": ""33.90"", ""treble"": ""203.80"", ""trifecta"": ""1158.60"", ""quaddie"": ""1447.90""}"
sunshine-coast-2026-02-08-r1,"{""quinella"": ""15.00"", ""exacta"": ""31.90"", ""trifecta"": ""79.60""}"
sunshine-coast-2026-02-08-r2,"{""quinella"": ""5.80"", ""exacta"": ""12.10"", ""trifecta"": ""33.50""}"
sunshine-coast-2026-02-08-r3,"{""quinella"": ""4.50"", ""exacta"": ""4.20"", ""trifecta"": ""15.70""}"
sunshine-coast-2026-02-08-r4,"{""quaddie"": ""52.20""}"
sunshine-coast-2026-02-08-r5,"{""quinella"": ""17.20"", ""exacta"": ""24.60"", ""quinella place 1"": ""4.60"", ""quinella place 2"": ""3.30"", ""quinella place 3"": ""13.10"", ""trifecta"": ""127.70""}"
sunshine-coast-2026-02-08-r6,"{""quinella"": ""22.50"", ""exacta"": ""45.70"", ""quinella place 1"": ""4.90"", ""quinella place 2"": ""2.90"", ""quinella place 3"": ""2.40"", ""trifecta"": ""85.90""}"
sunshine-coast-2026-02-08-r7,"{""quinella place 1"": ""3.20"", ""quinella place 2"": ""3.70"", ""quinella"": ""2.90"", ""exacta"": ""6.10"", ""quinella place 3"": ""1.20"", ""trifecta"": ""18.90""}"
sunshine-coast-2026-02-08-r8,"{""quinella place 1"": ""22.40"", ""quinella"": ""110.60"", ""exacta"": ""442.00"", ""quinella place 2"": ""23.30"", ""quinella place 3"": ""29.50"", ""daily double"": ""242.20"", ""trifecta"": ""6382.80"", ""treble"": ""1036.80"", ""quaddie"": ""5924.90""}"
sportsbet-wangaratta-2026-02-08-r1,"{""quinella"": ""15.80"", ""exacta"": ""27.00"", ""quinella place 1"": ""5.30"", ""quinella place 2"": ""8.10"", ""quinella place 3"": ""10.20"", ""trifecta"": ""311.40""}"
sportsbet-wangaratta-2026-02-08-r2,"{""quinella place 1"": ""3.20"", ""quinella place 2"": ""5.30"", ""quinella"": ""64.50"", ""exacta"": ""123.30"", ""quinella place 3"": ""12.50"", ""trifecta"": ""410.10""}"
sportsbet-wangaratta-2026-02-08-r3,"{""quinella"": ""8.80"", ""exacta"": ""12.20"", ""quinella place 1"": ""3.80"", ""quinella place 2"": ""18.50"", ""quinella place 3"": ""23.90"", ""trifecta"": ""309.20""}"
sportsbet-wangaratta-2026-02-08-r4,"{""quinella place 1"": ""10.80"", ""quinella"": ""14.90"", ""exacta"": ""14.00"", ""quinella place 2"": ""2.90"", ""quinella place 3"": ""4.60"", ""trifecta"": ""181.10"", ""early quaddie"": ""10755.40""}"
sportsbet-wangaratta-2026-02-08-r5,"{""quinella place 1"": ""16.80"", ""quinella place 2"": ""15.20"", ""quinella"": ""5.20"", ""exacta"": ""9.60"", ""quinella place 3"": ""2.50"", ""trifecta"": ""138.90""}"
sportsbet-wangaratta-2026-02-08-r6,"{""quinella place 1"": ""3.90"", ""quinella"": ""16.90"", ""exacta"": ""31.30"", ""quinella place 2"": ""5.90"", ""quinella place 3"": ""5.30"", ""trifecta"": ""95.60""}"
sportsbet-wangaratta-2026-02-08-r8,"{""quinella place 1"": ""20.60"", ""quinella"": ""38.60"", ""exacta"": ""69.30"", ""quinella place 2"": ""15.40"", ""daily double"": ""19.50"", ""quinella place 3"": ""6.80"", ""treble"": ""54.80"", ""trifecta"": ""473.00"", ""quaddie"": ""210.60""}"
caulfield-heath-2026-02-09-r1,"{""quinella place 1"": ""4.50"", ""quinella"": ""8.50"", ""exacta"": ""34.70"", ""quinella place 2"": ""2.80"", ""quinella place 3"": ""1.20"", ""trifecta"": ""73.40""}"
caulfield-heath-2026-02-09-r2,"{""quinella"": ""5.90"", ""exacta"": ""13.30"", ""trifecta"": ""77.60""}"
caulfield-heath-2026-02-09-r4,"{""quinella"": ""4.00"", ""exacta"": ""12.30"", ""quinella place 1"": ""2.10"", ""quinella place 2"": ""3.40"", ""quinella place 3"": ""7.50"", ""trifecta"": ""67.30"", ""early quaddie"": ""933.80""}"
caulfield-heath-2026-02-09-r5,"{""quinella"": ""8.60"", ""exacta"": ""11.90"", ""trifecta"": ""25.80""}"
caulfield-heath-2026-02-09-r6,"{""quinella"": ""6.10"", ""exacta"": ""11.20"", ""quinella place 1"": ""2.80"", ""quinella place 2"": ""4.20"", ""quinella place 3"": ""2.90"", ""trifecta"": ""30.70""}"
caulfield-heath-2026-02-09-r7,"{""daily double"": ""10.10"", ""quinella"": ""15.30"", ""exacta"": ""30.60"", ""treble"": ""41.80"", ""trifecta"": ""122.40"", ""quaddie"": ""291.50""}"
muswellbrook-2026-02-09-r1,"{""quinella"": ""5.50"", ""exacta"": ""6.00"", ""trifecta"": ""60.60""}"
muswellbrook-2026-02-09-r2,"{""quinella"": ""4.30"", ""exacta"": ""6.40"", ""trifecta"": ""15.70""}"
muswellbrook-2026-02-09-r4,"{""quinella"": ""82.20"", ""exacta"": ""101.80"", ""trifecta"": ""218.10"", ""early quaddie"": ""139.30""}"
muswellbrook-2026-02-09-r5,"{""quinella place 1"": ""10.60"", ""quinella place 2"": ""8.30"", ""quinella"": ""20.50"", ""exacta"": ""23.90"", ""quinella place 3"": ""6.90"", ""trifecta"": ""138.60""}"
muswellbrook-2026-02-09-r6,"{""quinella"": ""20.70"", ""exacta"": ""38.90"", ""quinella place 1"": ""6.00"", ""quinella place 2"": ""3.50"", ""quinella place 3"": ""1.80"", ""trifecta"": ""86.60""}"
muswellbrook-2026-02-09-r7,"{""quinella"": ""10.10"", ""exacta"": ""20.30"", ""quinella place 1"": ""4.30"", ""daily double"": ""14.60"", ""quinella place 2"": ""10.70"", ""quinella place 3"": ""7.50"", ""treble"": ""91.70"", ""trifecta"": ""150.80"", ""quaddie"": ""260.50""}"
wyong-2026-02-10-r1,"{""quinella"": ""4.40"", ""exacta"": ""7.00"", ""trifecta"": ""20.70""}"
wyong-2026-02-10-r4,"{""quaddie"": ""71.30""}"
